sample	library	sample_accession	source	library_type	population	latitude	longitude	region	sex	coverage	freemix	capmq	insert_size_average	array_non_reference_discordance	library_alias_ENA
HGDP00001	HGDP00001.11575262	ERS474507	sanger	PCR	Brahui	30.5	66.5	CENTRAL_SOUTH_ASIA	M	34.16	0.00042	34	355.9	0.052823	11318143
HGDP00003	HGDP00003.15458925	ERS474508	sanger	PCRfree	Brahui	30.5	66.5	CENTRAL_SOUTH_ASIA	M	34.64	0.00997	20	421.7	0.05233	NA
HGDP00005	HGDP00005.11575274	ERS474509	sanger	PCR	Brahui	30.5	66.5	CENTRAL_SOUTH_ASIA	M	33.74	0.00065	32	444.7	0.056695	11318144
HGDP00007	HGDP00007.15458937	ERS474510	sanger	PCRfree	Brahui	30.5	66.5	CENTRAL_SOUTH_ASIA	M	40.83	0.00876	21	432.8	0.056565	NA
HGDP00009	HGDP00009.11575286	ERS474511	sanger	PCR	Brahui	30.5	66.5	CENTRAL_SOUTH_ASIA	M	33.96	0.00082	31	456.5	0.045792	11318145
HGDP00011	HGDP00011.15458949	ERS474512	sanger	PCRfree	Brahui	30.5	66.5	CENTRAL_SOUTH_ASIA	M	35.16	0.0087	21	417.8	0.051732	NA
HGDP00013	HGDP00013.15458961	ERS474513	sanger	PCRfree	Brahui	30.5	66.5	CENTRAL_SOUTH_ASIA	M	30.34	0.01461	20	441	0.108423	NA
HGDP00015	HGDP00015.15458973	ERS474514	sanger	PCRfree	Brahui	30.5	66.5	CENTRAL_SOUTH_ASIA	M	36.53	0.01442	20	386.9	0.077912	NA
HGDP00017	HGDP00017.15458890	ERS474515	sanger	PCRfree	Brahui	30.5	66.5	CENTRAL_SOUTH_ASIA	M	36.87	0.00832	21	428.4	0.050921	NA
HGDP00019	HGDP00019.LP6005441-DNA_C03	ERS1042153	sgdp	PCRfree	Brahui	30.5	66.5	CENTRAL_SOUTH_ASIA	M	35.06	0.00041	33	293.5	0.040453	NA
HGDP00021	HGDP00021.15458902	ERS474517	sanger	PCRfree	Brahui	30.5	66.5	CENTRAL_SOUTH_ASIA	M	26.71	0.00868	21	413.2	0.097232	NA
HGDP00023	HGDP00023.15458914	ERS474518	sanger	PCRfree	Brahui	30.5	66.5	CENTRAL_SOUTH_ASIA	M	32.84	0.01126	20	414.5	0.070342	NA
HGDP00025	HGDP00025.15458926	ERS474519	sanger	PCRfree	Brahui	30.5	66.5	CENTRAL_SOUTH_ASIA	M	30.61	0.01061	20	423.5	0.073381	NA
HGDP00027	HGDP00027.LP6005441-DNA_D03	ERS1042152	sgdp	PCRfree	Brahui	30.5	66.5	CENTRAL_SOUTH_ASIA	M	37.92	0.00047	33	298.5	0.036673	NA
HGDP00029	HGDP00029.15458938	ERS474521	sanger	PCRfree	Brahui	30.5	66.5	CENTRAL_SOUTH_ASIA	M	35.7	0.00862	21	434.7	0.066184	NA
HGDP00031	HGDP00031.15458950	ERS474522	sanger	PCRfree	Brahui	30.5	66.5	CENTRAL_SOUTH_ASIA	M	33.93	0.00807	21	411.4	0.049817	NA
HGDP00033	HGDP00033.15458962	ERS474523	sanger	PCRfree	Brahui	30.5	66.5	CENTRAL_SOUTH_ASIA	M	34.24	0.01563	20	399.9	0.073824	NA
HGDP00035	HGDP00035.15458974	ERS474524	sanger	PCRfree	Brahui	30.5	66.5	CENTRAL_SOUTH_ASIA	M	31.37	0.02048	20	418.5	0.148109	NA
HGDP00037	HGDP00037.15458891	ERS474525	sanger	PCRfree	Brahui	30.5	66.5	CENTRAL_SOUTH_ASIA	M	34.99	0.01116	20	432	0.061712	NA
HGDP00039	HGDP00039.15458903	ERS474526	sanger	PCRfree	Brahui	30.5	66.5	CENTRAL_SOUTH_ASIA	M	31.23	0.00798	21	415.6	0.060263	NA
HGDP00041	HGDP00041.15458915	ERS474527	sanger	PCRfree	Brahui	30.5	66.5	CENTRAL_SOUTH_ASIA	M	32.61	0.01072	20	411.4	0.071838	NA
HGDP00043	HGDP00043.15458927	ERS474528	sanger	PCRfree	Brahui	30.5	66.5	CENTRAL_SOUTH_ASIA	M	33.44	0.01093	20	430.2	0.066006	NA
HGDP00045	HGDP00045.15458939	ERS474529	sanger	PCRfree	Brahui	30.5	66.5	CENTRAL_SOUTH_ASIA	M	34.94	0.00952	20	398.6	0.053053	NA
HGDP00047	HGDP00047.15458951	ERS474530	sanger	PCRfree	Brahui	30.5	66.5	CENTRAL_SOUTH_ASIA	M	38.32	0.00834	21	414.2	0.050579	NA
HGDP00049	HGDP00049.15458963	ERS474531	sanger	PCRfree	Brahui	30.5	66.5	CENTRAL_SOUTH_ASIA	M	40.75	0.01507	20	425.7	0.051707	NA
HGDP00052	HGDP00052.15458975	ERS474532	sanger	PCRfree	Balochi	30.5	66.5	CENTRAL_SOUTH_ASIA	M	30.39	0.01403	20	401.7	0.096225	NA
HGDP00054	HGDP00054.15458892	ERS474533	sanger	PCRfree	Balochi	30.5	66.5	CENTRAL_SOUTH_ASIA	M	35.17	0.00809	21	417.1	0.052825	NA
HGDP00056	HGDP00056.11575298	ERS474534	sanger	PCR	Balochi	30.5	66.5	CENTRAL_SOUTH_ASIA	M	33.5	0.00042	34	459.1	0.050465	11318146
HGDP00057	HGDP00057.11575310	ERS474535	sanger	PCR	Balochi	30.5	66.5	CENTRAL_SOUTH_ASIA	M	33.23	0.0008	31	470	0.061185	11318147
HGDP00058	HGDP00058.LP6005441-DNA_C01	ERS1042182	sgdp	PCRfree	Balochi	30.5	66.5	CENTRAL_SOUTH_ASIA	M	42.72	0.00023	36	293.2	0.030545	NA
HGDP00060	HGDP00060.15458904	ERS474537	sanger	PCRfree	Balochi	30.5	66.5	CENTRAL_SOUTH_ASIA	M	32.73	0.00815	21	427.3	0.072503	NA
HGDP00062	HGDP00062.11575322	ERS474538	sanger	PCR	Balochi	30.5	66.5	CENTRAL_SOUTH_ASIA	M	31.87	0.0005	33	447.5	0.053895	11318149
HGDP00064	HGDP00064.15458916	ERS474539	sanger	PCRfree	Balochi	30.5	66.5	CENTRAL_SOUTH_ASIA	M	31.77	0.01195	20	415.1	0.069054	NA
HGDP00066	HGDP00066.15458928	ERS474540	sanger	PCRfree	Balochi	30.5	66.5	CENTRAL_SOUTH_ASIA	M	31.43	0.01169	20	428.4	0.072596	NA
HGDP00068	HGDP00068.15458940	ERS474541	sanger	PCRfree	Balochi	30.5	66.5	CENTRAL_SOUTH_ASIA	M	39.64	0.0076	21	426.2	0.037615	NA
HGDP00070	HGDP00070.15458952	ERS474542	sanger	PCRfree	Balochi	30.5	66.5	CENTRAL_SOUTH_ASIA	M	34.13	0.00766	21	407	0.061525	NA
HGDP00072	HGDP00072.15458964	ERS474543	sanger	PCRfree	Balochi	30.5	66.5	CENTRAL_SOUTH_ASIA	M	32.84	0.0113	20	438.1	0.052844	NA
HGDP00074	HGDP00074.15458976	ERS474544	sanger	PCRfree	Balochi	30.5	66.5	CENTRAL_SOUTH_ASIA	M	31.04	0.01201	20	412.9	0.084155	NA
HGDP00076	HGDP00076.15665865	ERS474545	sanger	PCRfree	Balochi	30.5	66.5	CENTRAL_SOUTH_ASIA	M	39.43	0.00898	20	428.7	0.055823	NA
HGDP00078	HGDP00078.15665877	ERS474546	sanger	PCRfree	Balochi	30.5	66.5	CENTRAL_SOUTH_ASIA	M	31.34	0.00944	20	447.3	0.071177	NA
HGDP00080	HGDP00080.15665889	ERS474547	sanger	PCRfree	Balochi	30.5	66.5	CENTRAL_SOUTH_ASIA	M	36.58	0.01244	20	430.5	0.062121	NA
HGDP00082	HGDP00082.15665901	ERS474548	sanger	PCRfree	Balochi	30.5	66.5	CENTRAL_SOUTH_ASIA	M	39.28	0.00866	21	430.8	0.051891	NA
HGDP00086	HGDP00086.15665914	ERS474549	sanger	PCRfree	Balochi	30.5	66.5	CENTRAL_SOUTH_ASIA	M	37.7	0.00913	20	437.2	0.050066	NA
HGDP00088	HGDP00088.15665926	ERS474550	sanger	PCRfree	Balochi	30.5	66.5	CENTRAL_SOUTH_ASIA	M	31.96	0.01387	20	430.6	0.092192	NA
HGDP00090	HGDP00090.LP6005441-DNA_D01	ERS1042137	sgdp	PCRfree	Balochi	30.5	66.5	CENTRAL_SOUTH_ASIA	M	42.69	0.00078	31	294.3	0.035038	NA
HGDP00092	HGDP00092.15665940	ERS474552	sanger	PCRfree	Balochi	30.5	66.5	CENTRAL_SOUTH_ASIA	M	35.28	0.01579	20	400.5	0.084691	NA
HGDP00094	HGDP00094.15665963	ERS474553	sanger	PCRfree	Balochi	30.5	66.5	CENTRAL_SOUTH_ASIA	M	33.73	0.01702	20	418	0.10429	NA
HGDP00096	HGDP00096.15665866	ERS474554	sanger	PCRfree	Balochi	30.5	66.5	CENTRAL_SOUTH_ASIA	M	30.02	0.01398	20	433.1	0.114332	NA
HGDP00098	HGDP00098.15665878	ERS474555	sanger	PCRfree	Balochi	30.5	66.5	CENTRAL_SOUTH_ASIA	M	34.23	0.01062	20	420.1	0.068704	NA
HGDP00099	HGDP00099.15362755	ERS474389	sanger	PCRfree	Hazara	33.5	70	CENTRAL_SOUTH_ASIA	M	34.69	0.01355	20	458.4	0.069316	NA
HGDP00100	HGDP00100.15362767	ERS474390	sanger	PCRfree	Hazara	33.5	70	CENTRAL_SOUTH_ASIA	M	30.88	0.01528	20	456	0.084733	NA
HGDP00102	HGDP00102.15362684	ERS474391	sanger	PCRfree	Hazara	33.5	70	CENTRAL_SOUTH_ASIA	M	32.11	0.0105	20	451.3	0.059203	NA
HGDP00103	HGDP00103.11575260	ERS474392	sanger	PCR	Hazara	33.5	70	CENTRAL_SOUTH_ASIA	M	35.23	0.00076	31	464	0.046119	11318127
