source	sample	population	superpopulation
ggvp	SC_GMJOL5309930	GWJ	AFR
ggvp	SC_GMJOL5309891	GWJ	AFR
ggvp	SC_GMFUL5306338	GWF	AFR
ggvp	SC_GMFUL5309700	GWF	AFR
ggvp	SC_GMFUL5306371	GWF	AFR
ggvp	SC_GMFUL5309748	GWF	AFR
ggvp	SC_GMFUL5309717	GWF	AFR
ggvp	SC_GMFUL5306408	GWF	AFR
ggvp	SC_GMFUL5306395	GWF	AFR
ggvp	SC_GMFUL5306427	GWF	AFR
ggvp	SC_GMFUL5306345	GWF	AFR
ggvp	SC_GMFUL5306340	GWF	AFR
ggvp	SC_GMFUL5309781	GWF	AFR
ggvp	SC_GMFUL5306369	GWF	AFR
ggvp	SC_GMFUL5306388	GWF	AFR
ggvp	SC_GMFUL5306357	GWF	AFR
ggvp	SC_GMJOL5309979	GWJ	AFR
ggvp	SC_GMJOL5309948	GWJ	AFR
ggvp	SC_GMFUL5306383	GWF	AFR
ggvp	SC_GMFUL5306415	GWF	AFR
ggvp	SC_GMFUL5306352	GWF	AFR
ggvp	SC_GMFUL5306351	GWF	AFR
ggvp	SC_GMFUL5309755	GWF	AFR
ggvp	SC_GMFUL5306375	GWF	AFR
ggvp	SC_GMFUL5306399	GWF	AFR
ggvp	SC_GMFUL5306407	GWF	AFR
ggvp	SC_GMFUL5306344	GWF	AFR
ggvp	SC_GMFUL5309747	GWF	AFR
ggvp	SC_GMJOL5309917	GWJ	AFR
ggvp	SC_GMJOL5309911	GWJ	AFR
ggvp	SC_GMJOL5309981	GWJ	AFR
ggvp	SC_GMJOL5309935	GWJ	AFR
ggvp	SC_GMJOL5309950	GWJ	AFR
ggvp	SC_GMJOL5309959	GWJ	AFR
ggvp	SC_GMJOL5309974	GWJ	AFR
ggvp	SC_GMJOL5309896	GWJ	AFR
ggvp	SC_GMFUL5306410	GWF	AFR
ggvp	SC_GMJOL5309904	GWJ	AFR
ggvp	SC_GMFUL5306390	GWF	AFR
ggvp	SC_GMJOL5309928	GWJ	AFR
ggvp	SC_GMWOF5428721	GWW	AFR
ggvp	SC_GMWOF5428745	GWW	AFR
ggvp	SC_GMFUL5306426	GWF	AFR
ggvp	SC_GMWOF5428810	GWW	AFR
ggvp	SC_GMFUL5306421	GWF	AFR
ggvp	SC_GMWOF5428834	GWW	AFR
ggvp	SC_GMFUL5309730	GWF	AFR
ggvp	SC_GMWOF5428858	GWW	AFR
ggvp	SC_GMFUL5306382	GWF	AFR
ggvp	SC_GMWOF5428795	GWW	AFR
ggvp	SC_GMJOL5309980	GWJ	AFR
ggvp	SC_GMWOF5428803	GWW	AFR
ggvp	SC_GMJOL5309973	GWJ	AFR
ggvp	SC_GMWOF5428877	GWW	AFR
ggvp	SC_GMJOL5309942	GWJ	AFR
ggvp	SC_GMWOF5428790	GWW	AFR
ggvp	SC_GMJOL5309966	GWJ	AFR
ggvp	SC_GMWOF5428822	GWW	AFR
ggvp	SC_GMFUL5309716	GWF	AFR
ggvp	SC_GMWOF5428846	GWW	AFR
ggvp	SC_GMFUL5306363	GWF	AFR
ggvp	SC_GMWOF5428815	GWW	AFR
ggvp	SC_GMFUL5309709	GWF	AFR
ggvp	SC_GMWOF5428839	GWW	AFR
ggvp	SC_GMFUL5306387	GWF	AFR
ggvp	SC_GMWOF5428808	GWW	AFR
ggvp	SC_GMJOL5309860	GWJ	AFR
ggvp	SC_GMWOF5428841	GWW	AFR
ggvp	SC_GMJOL5309884	GWJ	AFR
ggvp	SC_GMWOF5428865	GWW	AFR
ggvp	SC_GMWOF5428770	GWW	AFR
ggvp	SC_GMMAN5482162	GWD	AFR
ggvp	SC_GMFUL5306419	GWF	AFR
ggvp	SC_GMMAN5482186	GWD	AFR
ggvp	SC_GMFUL5306356	GWF	AFR
ggvp	SC_GMJOL5309897	GWJ	AFR
ggvp	SC_GMFUL5309773	GWF	AFR
ggvp	SC_GMJOL5309905	GWJ	AFR
ggvp	SC_GMJOL5309961	GWJ	AFR
ggvp	SC_GMJOL5309929	GWJ	AFR
ggvp	SC_GMJOL5309985	GWJ	AFR
ggvp	SC_GMJOL5309835	GWJ	AFR
ggvp	SC_GMJOL5309827	GWJ	AFR
ggvp	SC_GMJOL5309859	GWJ	AFR
ggvp	SC_GMFUL5309711	GWF	AFR
ggvp	SC_GMJOL5309943	GWJ	AFR
ggvp	SC_GMFUL5306349	GWF	AFR
ggvp	SC_GMJOL5309967	GWJ	AFR
ggvp	SC_GMFUL5309735	GWF	AFR
ggvp	SC_GMJOL5309912	GWJ	AFR
ggvp	SC_GMMAN5482233	GWD	AFR
ggvp	SC_GMJOL5309936	GWJ	AFR
ggvp	SC_GMMAN5482290	GWD	AFR
ggvp	SC_GMJOL5309796	GWJ	AFR
ggvp	SC_GMMAN5482322	GWD	AFR
ggvp	SC_GMJOL5309804	GWJ	AFR
ggvp	SC_GMMAN5482283	GWD	AFR
ggvp	SC_GMJOL5309828	GWJ	AFR
ggvp	SC_GMWOF5428707	GWW	AFR
ggvp	SC_GMMAN5482276	GWD	AFR
ggvp	SC_GMWOF5428771	GWW	AFR
ggvp	SC_GMWOF5428737	GWW	AFR
ggvp	SC_GMWOF5428740	GWW	AFR
ggvp	SC_GMWOF5428794	GWW	AFR
ggvp	SC_GMWOF5428827	GWW	AFR
ggvp	SC_GMWOF5428802	GWW	AFR
ggvp	SC_GMWOF5428788	GWW	AFR
ggvp	SC_GMWOF5428826	GWW	AFR
ggvp	SC_GMMAN5482251	GWD	AFR
ggvp	SC_GMWOF5428787	GWW	AFR
ggvp	SC_GMMAN5482220	GWD	AFR
ggvp	SC_GMWOF5428819	GWW	AFR
ggvp	SC_GMMAN5482340	GWD	AFR
ggvp	SC_GMWOF5428833	GWW	AFR
ggvp	SC_GMWOF5428857	GWW	AFR
ggvp	SC_GMMAN5482170	GWD	AFR
ggvp	SC_GMMAN5482225	GWD	AFR
ggvp	SC_GMMAN5482194	GWD	AFR
ggvp	SC_GMMAN5482282	GWD	AFR
ggvp	SC_GMMAN5482202	GWD	AFR
ggvp	SC_GMMAN5482314	GWD	AFR
ggvp	SC_GMWOF5428763	GWW	AFR
ggvp	SC_GMMAN5482299	GWD	AFR
ggvp	SC_GMWOF5428732	GWW	AFR
ggvp	SC_GMMAN5482307	GWD	AFR
ggvp	SC_GMWOF5428744	GWW	AFR
ggvp	SC_GMMAN5482268	GWD	AFR
ggvp	SC_GMWOF5428713	GWW	AFR
ggvp	SC_GMMAN5482232	GWD	AFR
ggvp	SC_GMMAN5482252	GWD	AFR
ggvp	SC_GMMAN5482256	GWD	AFR
ggvp	SC_GMMAN5482221	GWD	AFR
ggvp	SC_GMMAN5482193	GWD	AFR
ggvp	SC_GMMAN5482199	GWD	AFR
ggvp	SC_GMMAN5482201	GWD	AFR
ggvp	SC_GMMAN5482207	GWD	AFR
ggvp	SC_GMMAN5482244	GWD	AFR
ggvp	SC_GMMAN5482163	GWD	AFR
ggvp	SC_GMMAN5482181	GWD	AFR
ggvp	SC_GMMAN5482187	GWD	AFR
ggvp	SC_GMMAN5482213	GWD	AFR
ggvp	SC_GMMAN5482219	GWD	AFR
ggvp	SC_GMWOF5428814	GWW	AFR
ggvp	SC_GMWOF5428838	GWW	AFR
ggvp	SC_GMWOF5428871	GWW	AFR
ggvp	SC_GMMAN5482168	GWD	AFR
ggvp	SC_GMMAN5482240	GWD	AFR
ggvp	SC_GMWOF5428821	GWW	AFR
ggvp	SC_GMWOF5428869	GWW	AFR
ggvp	SC_GMMAN5482308	GWD	AFR
ggvp	SC_GMJOL5309890	GWJ	AFR
ggvp	SC_GMJOL5309922	GWJ	AFR
ggvp	SC_GMJOL5309939	GWJ	AFR
ggvp	SC_GMFUL5306418	GWF	AFR
ggvp	SC_GMFUL5306413	GWF	AFR
ggvp	SC_GMFUL5309722	GWF	AFR
ggvp	SC_GMFUL5306374	GWF	AFR
ggvp	SC_GMFUL5306398	GWF	AFR
ggvp	SC_GMFUL5306406	GWF	AFR
ggvp	SC_GMFUL5306343	GWF	AFR
ggvp	SC_GMFUL5306367	GWF	AFR
