source	sample	sex	population	population_name	population_desc	superpopulation	superpopulation_name	latitude	longitude
1000g	HG00096	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00097	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00099	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00100	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00101	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00102	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00103	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00105	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00106	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00107	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00108	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00109	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00110	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00111	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00112	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00113	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00114	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00115	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00116	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00117	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00118	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00119	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00120	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00121	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00122	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00123	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00125	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00126	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00127	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00128	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00129	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00130	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00131	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00132	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00133	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00136	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00137	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00138	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00139	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00140	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00141	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00142	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00143	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00145	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00146	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00148	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00149	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00150	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00151	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00154	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00155	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00157	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00158	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00159	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00160	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00171	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00173	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00174	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00176	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00177	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00178	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00179	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00180	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00181	male	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00182	male	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00183	male	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00185	male	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00186	male	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00187	male	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00188	male	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00189	male	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00190	male	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00231	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00232	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00233	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00234	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00235	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00236	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00237	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00238	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00239	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00240	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00242	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00243	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00244	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00245	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00246	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00250	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00251	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00252	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00253	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00254	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00255	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00256	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00257	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00258	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00259	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00260	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00261	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00262	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00263	female	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00264	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00265	male	GBR	British	British in England and Scotland	EUR	European Ancestry	52.486243	-1.890401
1000g	HG00266	female	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
1000g	HG00267	male	FIN	Finnish	Finnish in Finland	EUR	European Ancestry	60.17	24.93
