source	sample	sex	population	population_name	population_desc	superpopulation	superpopulation_name	latitude	longitude
PRJEB12437	Chuk2	female	CHK	Chukchi	Chukchis, Chukotka Autonomous Okrug, Anadyr, Russia	CAS	Central Asian and Siberian Ancestry	177.5	64.7
PRJEB12437	Chuk8	female	CHK	Chukchi	Chukchis, Chukotka Autonomous Okrug, Anadyr, Russia	CAS	Central Asian and Siberian Ancestry	177.5	64.7
PRJEB12437	Chuk5	male	CHK	Chukchi	Chukchis, Chukotka Autonomous Okrug, Anadyr, Russia	CAS	Central Asian and Siberian Ancestry	177.5	64.7
PRJEB12437	Chuk13	female	CHK	Chukchi	Chukchis, Chukotka Autonomous Okrug, Anadyr, Russia	CAS	Central Asian and Siberian Ancestry	177.5	64.7
PRJEB12437	Chuk9	male	CHK	Chukchi	Chukchis, Chukotka Autonomous Okrug, Anadyr, Russia	CAS	Central Asian and Siberian Ancestry	177.5	64.7
PRJEB12437	Esk2	male	EKM	Eskimo	Eskimo, Chukotka, Nov.Chaplino, Russia	CAS	Central Asian and Siberian Ancestry	-172.9	64.5
PRJEB12437	Esk20	female	EKM	Eskimo	Eskimo, Chukotka, Nov.Chaplino, Russia	CAS	Central Asian and Siberian Ancestry	-172.9	64.5
PRJEB12437	Esk3	male	EKM	Eskimo	Eskimo, Chukotka, Nov.Chaplino, Russia	CAS	Central Asian and Siberian Ancestry	-172.9	64.5
PRJEB12437	Esk11	female	EKM	Eskimo	Eskimo, Chukotka, Nov.Chaplino, Russia	CAS	Central Asian and Siberian Ancestry	-172.9	64.5
PRJEB12437	koryak33	male	KRY	Koryak	Koryaks, Russia	CAS	Central Asian and Siberian Ancestry	159.9	59.1
PRJEB12437	koryak42	male	KRY	Koryak	Koryaks, Russia	CAS	Central Asian and Siberian Ancestry	159.9	59.1
PRJEB12437	Krk123	female	KRY	Koryak	Koryaks, Magadanskaya oblast, Severo-Evensky District, Evensk, Russia	CAS	Central Asian and Siberian Ancestry	159.2	61.9
PRJEB12437	Krk129	female	KRY	Koryak	Koryaks, Magadanskaya oblast, Severo-Evensky District, Evensk, Russia	CAS	Central Asian and Siberian Ancestry	159.2	61.9
PRJEB12437	Krk116	male	KRY	Koryak	Koryaks, Magadanskaya oblast, Severo-Evensky District, Paren, Russia	CAS	Central Asian and Siberian Ancestry	162.1	63.1
PRJEB12437	Krk119	male	KRY	Koryak	Koryaks, Magadanskaya oblast, Severo-Evensky District, Evensk, Russia	CAS	Central Asian and Siberian Ancestry	159.2	61.9
PRJEB12437	Krk124	female	KRY	Koryak	Koryaks, Magadanskaya oblast, Severo-Evensky District, Evensk, Russia	CAS	Central Asian and Siberian Ancestry	159.2	61.9
PRJEB12437	Krk127	female	KRY	Koryak	Koryaks, Magadanskaya oblast, Severo-Evensky District, Evensk, Russia	CAS	Central Asian and Siberian Ancestry	159.2	61.9
PRJEB12437	KrkG11	male	KRY	Koryak	Koryaks, Magadanskaya oblast, Severo-Evensky District, Evensk, Russia	CAS	Central Asian and Siberian Ancestry	159.2	61.9
PRJEB12437	KrkG14	male	KRY	Koryak	Koryaks, Magadanskaya oblast, Severo-Evensky District, Evensk, Russia	CAS	Central Asian and Siberian Ancestry	159.2	61.9
PRJEB12437	KrkG152	male	KRY	Koryak	Koryaks, Magadanskaya oblast, Severo-Evensky District, Gizhiga, Russia	CAS	Central Asian and Siberian Ancestry	160.4	62
PRJEB12437	KrkG233	male	KRY	Koryak	Koryaks, Magadanskaya oblast, Severo-Evensky District, Gizhiga, Russia	CAS	Central Asian and Siberian Ancestry	160.4	62
PRJEB12437	KrkG294	male	KRY	Koryak	Koryaks, Magadanskaya oblast, Severo-Evensky District, Evensk, Russia	CAS	Central Asian and Siberian Ancestry	159.2	61.9
PRJEB12437	KrkG3	male	KRY	Koryak	Koryaks, Magadanskaya oblast, Severo-Evensky District, Evensk, Russia	CAS	Central Asian and Siberian Ancestry	159.2	61.9
PRJEB12437	KrkG13	male	KRY	Koryak	Koryaks, Magadanskaya oblast, Severo-Evensky District, Evensk, Russia	CAS	Central Asian and Siberian Ancestry	159.2	61.9
PRJEB12437	KrkG55	male	KRY	Koryak	Koryaks, Magadanskaya oblast, Severo-Evensky District, Evensk, Russia	CAS	Central Asian and Siberian Ancestry	159.2	61.9
