project	sample	alias	accession	center	platform	instrument	library	layout	description	fastq_se_md5	fastq_se_ftp	fastq_r1_md5	fastq_r2_md5	fastq_r1_ftp	fastq_r2_ftp	fastq_se	fastq_r1	fastq_r2
PRJEB26349	DA380	Low depth genome sequence for DA380	ERR2564020	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	Low depth genome sequence for DA380	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	a6637e3f3a1eb10f1bc2b94abf287024	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR256/000/ERR2564020/ERR2564020.fastq.gz					data/source/PRJEB26349/fastq/ERR2564020_se.fastq.gz		
PRJEB26349	MA2213	Low depth genome sequence for MA2213	ERR2564021	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	Low depth genome sequence for MA2213	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	4eea6418e90ae378dba51abee1b7f819	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR256/001/ERR2564021/ERR2564021.fastq.gz					data/source/PRJEB26349/fastq/ERR2564021_se.fastq.gz		
PRJEB26349	MA2212	Low depth genome sequence for MA2212	ERR2564022	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	Low depth genome sequence for MA2212	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	d778ec9975fedc9a92a1197ff580ff76	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR256/002/ERR2564022/ERR2564022.fastq.gz					data/source/PRJEB26349/fastq/ERR2564022_se.fastq.gz		
PRJEB26349	MA2210	Low depth genome sequence for MA2210	ERR2564023	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	Low depth genome sequence for MA2210	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	5623c3ab568739d8286dc614c4a826c7	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR256/003/ERR2564023/ERR2564023.fastq.gz					data/source/PRJEB26349/fastq/ERR2564023_se.fastq.gz		
PRJEB26349	MA2208	Low depth genome sequence for MA2208	ERR2564024	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	Low depth genome sequence for MA2208	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	251f660087e2d8f4261a0267e731d7bc	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR256/004/ERR2564024/ERR2564024.fastq.gz					data/source/PRJEB26349/fastq/ERR2564024_se.fastq.gz		
PRJEB26349	MA2206	Low depth genome sequence for MA2206	ERR2564025	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	Low depth genome sequence for MA2206	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	e9793d51cb342332db2a00520152cacd	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR256/005/ERR2564025/ERR2564025.fastq.gz					data/source/PRJEB26349/fastq/ERR2564025_se.fastq.gz		
PRJEB26349	MA2205	Low depth genome sequence for MA2205	ERR2564026	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	Low depth genome sequence for MA2205	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	9d1b41cdba5dafc04cbb2e5bedf58fc7	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR256/006/ERR2564026/ERR2564026.fastq.gz					data/source/PRJEB26349/fastq/ERR2564026_se.fastq.gz		
PRJEB26349	MA2203	Low depth genome sequence for MA2203	ERR2564027	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	Low depth genome sequence for MA2203	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	ff62a60d6696223ae2484583b2582d3c	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR256/007/ERR2564027/ERR2564027.fastq.gz					data/source/PRJEB26349/fastq/ERR2564027_se.fastq.gz		
PRJEB26349	MA2200	Low depth genome sequence for MA2200	ERR2564028	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	Low depth genome sequence for MA2200	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	4f6468200e87e5574d1aa06846a077c6	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR256/008/ERR2564028/ERR2564028.fastq.gz					data/source/PRJEB26349/fastq/ERR2564028_se.fastq.gz		
PRJEB26349	MA2198	Low depth genome sequence for MA2198	ERR2564029	CENTRE FOR GEOGENETICS, NATURAL HISTORY MUSEUM OF DENMARK	ILLUMINA	Illumina HiSeq 2500	Low depth genome sequence for MA2198	SINGLE	The First Horse Herders and the Impact of Early Bronze Age Steppe Expansions into Asia	c59f89276aaec1bdde8b483bdd75723a	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR256/009/ERR2564029/ERR2564029.fastq.gz					data/source/PRJEB26349/fastq/ERR2564029_se.fastq.gz		
