sample	sex	population	population_name	population_desc	superpopulation	superpopulation_name
BBS014	M	BBI	Bubi	Bubi of Bioko Island	AFR	African Ancestry
BBS015	M	BBI	Bubi	Bubi of Bioko Island	AFR	African Ancestry
BBS017	M	BBI	Bubi	Bubi of Bioko Island	AFR	African Ancestry
BBS018	M	BBI	Bubi	Bubi of Bioko Island	AFR	African Ancestry
BBS019	F	BBI	Bubi	Bubi of Bioko Island	AFR	African Ancestry
BBS021	M	BBI	Bubi	Bubi of Bioko Island	AFR	African Ancestry
BBS023	M	BBI	Bubi	Bubi of Bioko Island	AFR	African Ancestry
BBS025	M	BBI	Bubi	Bubi of Bioko Island	AFR	African Ancestry
BBS027	M	BBI	Bubi	Bubi of Bioko Island	AFR	African Ancestry
BBS028	M	BBI	Bubi	Bubi of Bioko Island	AFR	African Ancestry
BBS038	F	BBI	Bubi	Bubi of Bioko Island	AFR	African Ancestry
BBS039	F	BBI	Bubi	Bubi of Bioko Island	AFR	African Ancestry
