project	sample	accession	center	platform	instrument	library	layout	description	fastq_r1_md5	fastq_r2_md5	fastq_r1_ftp	fastq_r2_ftp	fastq_r1	fastq_r2
PRJEB29142	ALG01	ERR2868207	INSTITUT DE BIOLOGIA EVOLUTIVA (CSIC-UPF)	ILLUMINA	Illumina HiSeq 2000	ALG01	PAIRED	We analyze North African whole-genome sequences and use other current and ancient data in order to characterize its internal diversity, population structure, gene flow, and population continuity	0e5b4e60c8cf3cbe7e2f09779aed4528	bd3962c18454a951e1f10c1a7c445be0	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/007/ERR2868207/ERR2868207_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/007/ERR2868207/ERR2868207_2.fastq.gz	data/source/PRJEB29142/fastq/ERR2868207_r1.fastq.gz	data/source/PRJEB29142/fastq/ERR2868207_r2.fastq.gz
PRJEB29142	ALG02	ERR2868208	INSTITUT DE BIOLOGIA EVOLUTIVA (CSIC-UPF)	ILLUMINA	Illumina HiSeq 2000	ALG02	PAIRED	We analyze North African whole-genome sequences and use other current and ancient data in order to characterize its internal diversity, population structure, gene flow, and population continuity	ee98f4aae18d7e0f44009bb655822d0d	89c9dc412f6b2d977bda8286a4a21664	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/008/ERR2868208/ERR2868208_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/008/ERR2868208/ERR2868208_2.fastq.gz	data/source/PRJEB29142/fastq/ERR2868208_r1.fastq.gz	data/source/PRJEB29142/fastq/ERR2868208_r2.fastq.gz
PRJEB29142	BAS01	ERR2868209	INSTITUT DE BIOLOGIA EVOLUTIVA (CSIC-UPF)	ILLUMINA	Illumina HiSeq 2000	BAS01	PAIRED	We analyze North African whole-genome sequences and use other current and ancient data in order to characterize its internal diversity, population structure, gene flow, and population continuity	4724122384905ff8aa84bca81fd602c3	376c0e5d5a22de241f6b42117d25d087	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/009/ERR2868209/ERR2868209_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/009/ERR2868209/ERR2868209_2.fastq.gz	data/source/PRJEB29142/fastq/ERR2868209_r1.fastq.gz	data/source/PRJEB29142/fastq/ERR2868209_r2.fastq.gz
PRJEB29142	BAS02	ERR2868210	INSTITUT DE BIOLOGIA EVOLUTIVA (CSIC-UPF)	ILLUMINA	Illumina HiSeq 2000	BAS02	PAIRED	We analyze North African whole-genome sequences and use other current and ancient data in order to characterize its internal diversity, population structure, gene flow, and population continuity	32c1c00563a3cd5a4e8b3f044c841526	c626796b352d3d1790597481ceb3c6f3	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/000/ERR2868210/ERR2868210_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/000/ERR2868210/ERR2868210_2.fastq.gz	data/source/PRJEB29142/fastq/ERR2868210_r1.fastq.gz	data/source/PRJEB29142/fastq/ERR2868210_r2.fastq.gz
PRJEB29142	BMOR01	ERR2868211	INSTITUT DE BIOLOGIA EVOLUTIVA (CSIC-UPF)	ILLUMINA	Illumina HiSeq 2000	BMOR01	PAIRED	We analyze North African whole-genome sequences and use other current and ancient data in order to characterize its internal diversity, population structure, gene flow, and population continuity	d65c421e16e75a41fdf0e0d33bf94150	d4ef8d2768d333efed30552f4106c6cb	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/001/ERR2868211/ERR2868211_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/001/ERR2868211/ERR2868211_2.fastq.gz	data/source/PRJEB29142/fastq/ERR2868211_r1.fastq.gz	data/source/PRJEB29142/fastq/ERR2868211_r2.fastq.gz
PRJEB29142	BMOR02	ERR2868212	INSTITUT DE BIOLOGIA EVOLUTIVA (CSIC-UPF)	ILLUMINA	Illumina HiSeq 2000	BMOR02	PAIRED	We analyze North African whole-genome sequences and use other current and ancient data in order to characterize its internal diversity, population structure, gene flow, and population continuity	ea397811ad83485760059ef19e50859e	5bf9345c60a88622fdbb4ab76e1f0f38	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/002/ERR2868212/ERR2868212_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/002/ERR2868212/ERR2868212_2.fastq.gz	data/source/PRJEB29142/fastq/ERR2868212_r1.fastq.gz	data/source/PRJEB29142/fastq/ERR2868212_r2.fastq.gz
PRJEB29142	BTUN01	ERR2868213	INSTITUT DE BIOLOGIA EVOLUTIVA (CSIC-UPF)	ILLUMINA	Illumina HiSeq 2000	BTUN01	PAIRED	We analyze North African whole-genome sequences and use other current and ancient data in order to characterize its internal diversity, population structure, gene flow, and population continuity	ac5b0263797f4cdf10e8348476ea3e18	cb5de57c8347540b6840eb7768e5c50d	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/003/ERR2868213/ERR2868213_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/003/ERR2868213/ERR2868213_2.fastq.gz	data/source/PRJEB29142/fastq/ERR2868213_r1.fastq.gz	data/source/PRJEB29142/fastq/ERR2868213_r2.fastq.gz
PRJEB29142	BTUN02	ERR2868214	INSTITUT DE BIOLOGIA EVOLUTIVA (CSIC-UPF)	ILLUMINA	Illumina HiSeq 2000	BTUN02	PAIRED	We analyze North African whole-genome sequences and use other current and ancient data in order to characterize its internal diversity, population structure, gene flow, and population continuity	35f9375e6017e3548b19f67dda3c077b	9f9e1a857b67807e80ba4074eff9e6a2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/004/ERR2868214/ERR2868214_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/004/ERR2868214/ERR2868214_2.fastq.gz	data/source/PRJEB29142/fastq/ERR2868214_r1.fastq.gz	data/source/PRJEB29142/fastq/ERR2868214_r2.fastq.gz
PRJEB29142	BZEN01	ERR2868215	INSTITUT DE BIOLOGIA EVOLUTIVA (CSIC-UPF)	ILLUMINA	Illumina HiSeq 2000	BZEN01	PAIRED	We analyze North African whole-genome sequences and use other current and ancient data in order to characterize its internal diversity, population structure, gene flow, and population continuity	e012e606be3c39196cf50a17dcf3513a	944bb010bdb3cb482552a0fc465aa089	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/005/ERR2868215/ERR2868215_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/005/ERR2868215/ERR2868215_2.fastq.gz	data/source/PRJEB29142/fastq/ERR2868215_r1.fastq.gz	data/source/PRJEB29142/fastq/ERR2868215_r2.fastq.gz
PRJEB29142	BZEN02	ERR2868216	INSTITUT DE BIOLOGIA EVOLUTIVA (CSIC-UPF)	ILLUMINA	Illumina HiSeq 2000	BZEN02	PAIRED	We analyze North African whole-genome sequences and use other current and ancient data in order to characterize its internal diversity, population structure, gene flow, and population continuity	b7f21c30d9a20b6c43fd6fdf48ed7d5c	af1c7657348d80223e6765efdbd0435e	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/006/ERR2868216/ERR2868216_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/006/ERR2868216/ERR2868216_2.fastq.gz	data/source/PRJEB29142/fastq/ERR2868216_r1.fastq.gz	data/source/PRJEB29142/fastq/ERR2868216_r2.fastq.gz
