project	sample	accession	center	platform	instrument	library	layout	description	fastq_r1_md5	fastq_r2_md5	fastq_r1_ftp	fastq_r2_ftp	fastq_r1	fastq_r2
PRJNA288297	DGMQ-31108	SRR2098177	Weill Cornell Medical College	ILLUMINA	Illumina HiSeq 2500	DGMQ-31108_WGS	PAIRED	Homo sapiens whole genome sequencing of Qataris	3ea928b77cfb475341ef07dbfa2883bb	e9f1049f4067e6bc95f7ad2125e92b55	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/007/SRR2098177/SRR2098177_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/007/SRR2098177/SRR2098177_2.fastq.gz	data/source/PRJNA288297/fastq/SRR2098177_r1.fastq.gz	data/source/PRJNA288297/fastq/SRR2098177_r2.fastq.gz
PRJNA288297	DGMQ-31179	SRR2098178	Weill Cornell Medical College	ILLUMINA	Illumina HiSeq 2500	DGMQ-31179_WGS_3	PAIRED	Homo sapiens whole genome sequencing of Qataris	4de123f1a729ecf4f8a6930fe7a24006	7ef9b3a08c77cc037a402a3009c6dc2a	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/008/SRR2098178/SRR2098178_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/008/SRR2098178/SRR2098178_2.fastq.gz	data/source/PRJNA288297/fastq/SRR2098178_r1.fastq.gz	data/source/PRJNA288297/fastq/SRR2098178_r2.fastq.gz
PRJNA288297	DGMQ-31225	SRR2098179	Weill Cornell Medical College	ILLUMINA	Illumina HiSeq 2500	DGMQ-31225_WGS_3	PAIRED	Homo sapiens whole genome sequencing of Qataris	77ce4964e304083fa1387415eb774be0	8d2f4db0b6f1658f4c7650499cfc50ba	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/009/SRR2098179/SRR2098179_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/009/SRR2098179/SRR2098179_2.fastq.gz	data/source/PRJNA288297/fastq/SRR2098179_r1.fastq.gz	data/source/PRJNA288297/fastq/SRR2098179_r2.fastq.gz
PRJNA288297	DGMQ-31613	SRR2098180	Weill Cornell Medical College	ILLUMINA	Illumina HiSeq 2500	DGMQ-31613_WGS_3	PAIRED	Homo sapiens whole genome sequencing of Qataris	31b10a0ec42d4b38a0f9ce1f8d775ed4	91a4ead67b87e6279f86163973f20f1c	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/000/SRR2098180/SRR2098180_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/000/SRR2098180/SRR2098180_2.fastq.gz	data/source/PRJNA288297/fastq/SRR2098180_r1.fastq.gz	data/source/PRJNA288297/fastq/SRR2098180_r2.fastq.gz
PRJNA288297	DGMQ-31615	SRR2098181	Weill Cornell Medical College	ILLUMINA	Illumina HiSeq 2500	DGMQ-31615_WGS_3	PAIRED	Homo sapiens whole genome sequencing of Qataris	c7a2a958c7707dd25d87f1c3bd11c6f5	08727fc8969653db143b10476411b3d3	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/001/SRR2098181/SRR2098181_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/001/SRR2098181/SRR2098181_2.fastq.gz	data/source/PRJNA288297/fastq/SRR2098181_r1.fastq.gz	data/source/PRJNA288297/fastq/SRR2098181_r2.fastq.gz
PRJNA288297	DGMQ-31625	SRR2098182	Weill Cornell Medical College	ILLUMINA	Illumina HiSeq 2500	DGMQ-31625_WGS_3	PAIRED	Homo sapiens whole genome sequencing of Qataris	f33163e771cc842523019cd3a3235690	6401b28aa919c4bb6a58822894b75e08	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/002/SRR2098182/SRR2098182_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/002/SRR2098182/SRR2098182_2.fastq.gz	data/source/PRJNA288297/fastq/SRR2098182_r1.fastq.gz	data/source/PRJNA288297/fastq/SRR2098182_r2.fastq.gz
PRJNA288297	DGMQ-31627	SRR2098183	Weill Cornell Medical College	ILLUMINA	Illumina HiSeq 2500	DGMQ-31627_WGS_3	PAIRED	Homo sapiens whole genome sequencing of Qataris	fbe3f3de0f349d2460b58bab1bde3182	6e35f36688fab4618afd63adcb5346c3	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/003/SRR2098183/SRR2098183_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/003/SRR2098183/SRR2098183_2.fastq.gz	data/source/PRJNA288297/fastq/SRR2098183_r1.fastq.gz	data/source/PRJNA288297/fastq/SRR2098183_r2.fastq.gz
PRJNA288297	DGMQ-32371	SRR2098184	Weill Cornell Medical College	ILLUMINA	Illumina HiSeq 2500	DGMQ-32371_WGS_3	PAIRED	Homo sapiens whole genome sequencing of Qataris	648e6f88fb71b63590cdc06258d7ae3a	998183b1438b4dea5cb9cd4ff462b702	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/004/SRR2098184/SRR2098184_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/004/SRR2098184/SRR2098184_2.fastq.gz	data/source/PRJNA288297/fastq/SRR2098184_r1.fastq.gz	data/source/PRJNA288297/fastq/SRR2098184_r2.fastq.gz
PRJNA288297	DGMQ-31005	SRR2098185	Weill Cornell Medical College	ILLUMINA	Illumina HiSeq 2500	DGMQ-31005_WGS	PAIRED	Homo sapiens whole genome sequencing of Qataris	8e18494799212c78739a3b012f8049fb	77efc59b1bc6475a2d637086c5b257c2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/005/SRR2098185/SRR2098185_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/005/SRR2098185/SRR2098185_2.fastq.gz	data/source/PRJNA288297/fastq/SRR2098185_r1.fastq.gz	data/source/PRJNA288297/fastq/SRR2098185_r2.fastq.gz
PRJNA288297	DGMQ-31029	SRR2098186	Weill Cornell Medical College	ILLUMINA	Illumina HiSeq 2500	DGMQ-31029_WGS_3	PAIRED	Homo sapiens whole genome sequencing of Qataris	331cfc3957a3b677504ce03451f91e40	ecd4e9a400bcb762ecfefb27e57209dd	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/006/SRR2098186/SRR2098186_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/006/SRR2098186/SRR2098186_2.fastq.gz	data/source/PRJNA288297/fastq/SRR2098186_r1.fastq.gz	data/source/PRJNA288297/fastq/SRR2098186_r2.fastq.gz
