project	sample	alias	accession	center	platform	instrument	library	layout	description	fastq_se_md5	fastq_se_ftp	fastq_r1_md5	fastq_r2_md5	fastq_r1_ftp	fastq_r2_ftp	fastq_se	fastq_r1	fastq_r2
PRJNA470966	ADR94398	This sample has been submitted by pda|witonsky on 2018-11-09; Homo sapiens	SRR8175978	SUB4767384	ILLUMINA	Illumina HiSeq 4000	LIB16	PAIRED	Ancient Human DNA from Lake Titicaca, Peru	bb9efe67fd141f87f7c99f3e16e89fae	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/008/SRR8175978/SRR8175978.fastq.gz	764ad565ad58edf97bd6d68ea912e07d	31dd25415e91fec3daade9bfa6c96810	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/008/SRR8175978/SRR8175978_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/008/SRR8175978/SRR8175978_2.fastq.gz	data/source/PRJNA470966/fastq/SRR8175978_se.fastq.gz	data/source/PRJNA470966/fastq/SRR8175978_r1.fastq.gz	data/source/PRJNA470966/fastq/SRR8175978_r2.fastq.gz
PRJNA470966	ADR94324	This sample has been submitted by pda|witonsky on 2018-11-09; Homo sapiens	SRR8175979	SUB4767384	ILLUMINA	Illumina HiSeq 4000	LIB15	PAIRED	Ancient Human DNA from Lake Titicaca, Peru	bec7a4c57943114fe585cdfc537413c7	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/009/SRR8175979/SRR8175979.fastq.gz	1d299e9825caf8d24ca75d7b852f845e	1df112d314d54ceae1a2cbddab33dd33	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/009/SRR8175979/SRR8175979_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/009/SRR8175979/SRR8175979_2.fastq.gz	data/source/PRJNA470966/fastq/SRR8175979_se.fastq.gz	data/source/PRJNA470966/fastq/SRR8175979_r1.fastq.gz	data/source/PRJNA470966/fastq/SRR8175979_r2.fastq.gz
PRJNA470966	ADR94396	This sample has been submitted by pda|witonsky on 2018-11-09; Homo sapiens	SRR8175980	SUB4767384	ILLUMINA	Illumina HiSeq 4000	LIB18	PAIRED	Ancient Human DNA from Lake Titicaca, Peru	2b8b5286dcf1fa2d7002177e5dd146cd	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/000/SRR8175980/SRR8175980.fastq.gz	e05adfad8f57d7afb28e90882b4a2fc2	f0dbf88b2ea132d1cb159e8d6a6d4d01	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/000/SRR8175980/SRR8175980_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/000/SRR8175980/SRR8175980_2.fastq.gz	data/source/PRJNA470966/fastq/SRR8175980_se.fastq.gz	data/source/PRJNA470966/fastq/SRR8175980_r1.fastq.gz	data/source/PRJNA470966/fastq/SRR8175980_r2.fastq.gz
PRJNA470966	ADR94325	This sample has been submitted by pda|witonsky on 2018-11-09; Homo sapiens	SRR8175981	SUB4767384	ILLUMINA	Illumina HiSeq 4000	LIB17	PAIRED	Ancient Human DNA from Lake Titicaca, Peru	7e521786cbaba4ddca44078e505d6898	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/001/SRR8175981/SRR8175981.fastq.gz	cfb7805ad1737b633a7e756a82c712d3	31e337b5e7e3451d90e3bb28992ed12c	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/001/SRR8175981/SRR8175981_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/001/SRR8175981/SRR8175981_2.fastq.gz	data/source/PRJNA470966/fastq/SRR8175981_se.fastq.gz	data/source/PRJNA470966/fastq/SRR8175981_r1.fastq.gz	data/source/PRJNA470966/fastq/SRR8175981_r2.fastq.gz
PRJNA470966	ADR94351	This sample has been submitted by pda|witonsky on 2018-11-09; Homo sapiens	SRR8175982	SUB4767384	ILLUMINA	Illumina HiSeq 4000	LIB12	PAIRED	Ancient Human DNA from Lake Titicaca, Peru	220d7f56ef56233149f034186d728485	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/002/SRR8175982/SRR8175982.fastq.gz	ecd516069a601261aaf04cb8c00c634b	87fcb19f93751d89a25b3fedecad7141	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/002/SRR8175982/SRR8175982_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/002/SRR8175982/SRR8175982_2.fastq.gz	data/source/PRJNA470966/fastq/SRR8175982_se.fastq.gz	data/source/PRJNA470966/fastq/SRR8175982_r1.fastq.gz	data/source/PRJNA470966/fastq/SRR8175982_r2.fastq.gz
PRJNA470966	ADR94095	This sample has been submitted by pda|witonsky on 2018-11-09; Homo sapiens	SRR8175983	SUB4767384	ILLUMINA	Illumina HiSeq 4000	LIB11	PAIRED	Ancient Human DNA from Lake Titicaca, Peru	1909b57009080b0b3c20ce620b473374	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/003/SRR8175983/SRR8175983.fastq.gz	7aa183e497d3ab8938ba78eb9a35446a	cdad1343cb5c4c465b337d68d9f33f7f	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/003/SRR8175983/SRR8175983_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/003/SRR8175983/SRR8175983_2.fastq.gz	data/source/PRJNA470966/fastq/SRR8175983_se.fastq.gz	data/source/PRJNA470966/fastq/SRR8175983_r1.fastq.gz	data/source/PRJNA470966/fastq/SRR8175983_r2.fastq.gz
PRJNA470966	ADR94364	This sample has been submitted by pda|witonsky on 2018-11-09; Homo sapiens	SRR8175984	SUB4767384	ILLUMINA	Illumina HiSeq 4000	LIB14	PAIRED	Ancient Human DNA from Lake Titicaca, Peru	fefbffc98ed4001955f82cd0eff53853	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/004/SRR8175984/SRR8175984.fastq.gz	1265ec1c1b8c23a7ffb169b86ef5ab0e	8366e5448395f9e8c15769ff63079784	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/004/SRR8175984/SRR8175984_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/004/SRR8175984/SRR8175984_2.fastq.gz	data/source/PRJNA470966/fastq/SRR8175984_se.fastq.gz	data/source/PRJNA470966/fastq/SRR8175984_r1.fastq.gz	data/source/PRJNA470966/fastq/SRR8175984_r2.fastq.gz
PRJNA470966	ADR94254	This sample has been submitted by pda|witonsky on 2018-11-09; Homo sapiens	SRR8175985	SUB4767384	ILLUMINA	Illumina HiSeq 4000	LIB13	PAIRED	Ancient Human DNA from Lake Titicaca, Peru	4cf60cb8185a16ac616527d8bc9070a7	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/005/SRR8175985/SRR8175985.fastq.gz	f4c8b5b75dbc2a5d15d0b0a746632194	ef0bbb83a8be0e4316496909a2a4507c	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/005/SRR8175985/SRR8175985_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/005/SRR8175985/SRR8175985_2.fastq.gz	data/source/PRJNA470966/fastq/SRR8175985_se.fastq.gz	data/source/PRJNA470966/fastq/SRR8175985_r1.fastq.gz	data/source/PRJNA470966/fastq/SRR8175985_r2.fastq.gz
PRJNA470966	ADR94071	This sample has been submitted by pda|witonsky on 2018-11-09; Homo sapiens	SRR8175986	SUB4767384	ILLUMINA	Illumina HiSeq 4000	LIB20	PAIRED	Ancient Human DNA from Lake Titicaca, Peru	3930ece75fb5fb863dd3b2d02ff1ebb1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/006/SRR8175986/SRR8175986.fastq.gz	dda1762cfef2a496c049e41e5f9bd937	b2704711d567a4ab4350bd4acd31643e	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/006/SRR8175986/SRR8175986_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/006/SRR8175986/SRR8175986_2.fastq.gz	data/source/PRJNA470966/fastq/SRR8175986_se.fastq.gz	data/source/PRJNA470966/fastq/SRR8175986_r1.fastq.gz	data/source/PRJNA470966/fastq/SRR8175986_r2.fastq.gz
PRJNA470966	ADR94368	This sample has been submitted by pda|witonsky on 2018-11-09; Homo sapiens	SRR8175987	SUB4767384	ILLUMINA	Illumina HiSeq 4000	LIB19	PAIRED	Ancient Human DNA from Lake Titicaca, Peru	0aabe6f929492b9e7e4649f0f6b1583d	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/007/SRR8175987/SRR8175987.fastq.gz	2a93dd8d355f3cbf94df156624d5b808	6d6acb22ee750a9bb7686509e9625df1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/007/SRR8175987/SRR8175987_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR817/007/SRR8175987/SRR8175987_2.fastq.gz	data/source/PRJNA470966/fastq/SRR8175987_se.fastq.gz	data/source/PRJNA470966/fastq/SRR8175987_r1.fastq.gz	data/source/PRJNA470966/fastq/SRR8175987_r2.fastq.gz
