sample	vcf_ftp
APPG7555879	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/26958_APPG7555879.phased_variants.vcf.gz
APPG7555867	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/26964_APPG7555867.phased_variants.vcf.gz
APPG7555897	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/28420_APPG7555897.phased_variants.vcf.gz
APPG7555899	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/28927_APPG7555899.phased_variants.vcf.gz
APPG7555900	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/28927_APPG7555900.phased_variants.vcf.gz
APPG7555901	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/28927_APPG7555901.phased_variants.vcf.gz
APPG7555902	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/28927_APPG7555902.phased_variants.vcf.gz
APPG7836393	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/28927_APPG7836393.phased_variants.vcf.gz
APPG7836394	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/28927_APPG7836394.phased_variants.vcf.gz
APPG7836395	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/28927_APPG7836395.phased_variants.vcf.gz
APPG7836403	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/28927_APPG7836403.phased_variants.vcf.gz
APPG7836397	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/28990_APPG7836397.phased_variants.vcf.gz
APPG7836398	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/28990_APPG7836398.phased_variants.vcf.gz
APPG7836399	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/28990_APPG7836399.phased_variants.vcf.gz
APPG7836401	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/28990_APPG7836401.phased_variants.vcf.gz
APPG7836402	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/28990_APPG7836402.phased_variants.vcf.gz
APPG7836396	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/29106_APPG7836396.phased_variants.vcf.gz
APPG7836404	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/29106_APPG7836404.phased_variants.vcf.gz
APPG7836405	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/29106_APPG7836405.phased_variants.vcf.gz
APPG7836406	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/29106_APPG7836406.phased_variants.vcf.gz
APPG7836407	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/29106_APPG7836407.phased_variants.vcf.gz
APPG7836408	ftp://ngs.sanger.ac.uk/production/appg/PHASED_VCFs/29106_APPG7836408.phased_variants.vcf.gz
