source	sample	population	population_name	superpopulation	superpopulation_name
appg	APPG7555863	UAE	United Arab Emirates	MEA	Middle Eastern Ancestry
appg	APPG7555864	UAE	United Arab Emirates	MEA	Middle Eastern Ancestry
appg	APPG7555865	UAE	United Arab Emirates	MEA	Middle Eastern Ancestry
appg	APPG7555866	UAE	United Arab Emirates	MEA	Middle Eastern Ancestry
appg	APPG7555867	UAE	United Arab Emirates	MEA	Middle Eastern Ancestry
appg	APPG7555868	UAE	United Arab Emirates	MEA	Middle Eastern Ancestry
appg	APPG7555869	UAE	United Arab Emirates	MEA	Middle Eastern Ancestry
appg	APPG7555870	UAE	United Arab Emirates	MEA	Middle Eastern Ancestry
appg	APPG7555871	UAE	United Arab Emirates	MEA	Middle Eastern Ancestry
appg	APPG7555872	UAE	United Arab Emirates	MEA	Middle Eastern Ancestry
appg	APPG7555873	UAE	United Arab Emirates	MEA	Middle Eastern Ancestry
appg	APPG7555874	UAE	United Arab Emirates	MEA	Middle Eastern Ancestry
appg	APPG7555875	UAE	United Arab Emirates	MEA	Middle Eastern Ancestry
appg	APPG7555876	UAE	United Arab Emirates	MEA	Middle Eastern Ancestry
appg	APPG7555877	UAE	United Arab Emirates	MEA	Middle Eastern Ancestry
appg	APPG7555878	UAE	United Arab Emirates	MEA	Middle Eastern Ancestry
appg	APPG7555879	UAE	United Arab Emirates	MEA	Middle Eastern Ancestry
appg	APPG7555880	UAE	United Arab Emirates	MEA	Middle Eastern Ancestry
appg	APPG7555881	UAE	United Arab Emirates	MEA	Middle Eastern Ancestry
appg	APPG7555882	UAE	United Arab Emirates	MEA	Middle Eastern Ancestry
appg	APPG7555883	UAE	United Arab Emirates	MEA	Middle Eastern Ancestry
appg	APPG7555884	UAE	United Arab Emirates	MEA	Middle Eastern Ancestry
appg	APPG7555885	UAE	United Arab Emirates	MEA	Middle Eastern Ancestry
appg	APPG7555886	UAE	United Arab Emirates	MEA	Middle Eastern Ancestry
appg	APPG7555887	UAE	United Arab Emirates	MEA	Middle Eastern Ancestry
appg	APPG7555888	UAE	United Arab Emirates	MEA	Middle Eastern Ancestry
appg	APPG7555889	UAE	United Arab Emirates	MEA	Middle Eastern Ancestry
appg	APPG7555890	UAE	United Arab Emirates	MEA	Middle Eastern Ancestry
appg	APPG7555891	UAE	United Arab Emirates	MEA	Middle Eastern Ancestry
appg	APPG7555892	UAE	United Arab Emirates	MEA	Middle Eastern Ancestry
appg	APPG7555893	UAE	United Arab Emirates	MEA	Middle Eastern Ancestry
appg	APPG7555894	UAE	United Arab Emirates	MEA	Middle Eastern Ancestry
appg	APPG7555895	UAE	United Arab Emirates	MEA	Middle Eastern Ancestry
appg	APPG7555896	UAE	United Arab Emirates	MEA	Middle Eastern Ancestry
appg	APPG7555897	UAE	United Arab Emirates	MEA	Middle Eastern Ancestry
