source	sample	sex	population	population_name	long_ID	pop_ID	annotation	superpopulation	superpopulation_name
appg	APPG7555863	Male	UAE	United Arab Emirates 	longranger222_wgs_26964_APPG7555863_GRCh38_gatk	UAE1	EmiratiD	MEA	Middle Eastern Ancestry
appg	APPG7555864	Female	UAE	United Arab Emirates 	longranger222_wgs_26964_APPG7555864_GRCh38_gatk	UAE2	EmiratiB	MEA	Middle Eastern Ancestry
appg	APPG7555865	Female	UAE	United Arab Emirates 	longranger222_wgs_26964_APPG7555865_GRCh38_gatk	UAE4	EmiratiD	MEA	Middle Eastern Ancestry
appg	APPG7555866	Male	UAE	United Arab Emirates 	longranger222_wgs_26964_APPG7555866_GRCh38_gatk	UAE5	EmiratiA	MEA	Middle Eastern Ancestry
appg	APPG7555867	Male	UAE	United Arab Emirates 	longranger222_wgs_26964_APPG7555867_GRCh38_gatk	UAE6	EmiratiC	MEA	Middle Eastern Ancestry
appg	APPG7555868	Male	UAE	United Arab Emirates 	longranger222_wgs_26965_APPG7555868_GRCh38_gatk	UAE7	EmiratiD	MEA	Middle Eastern Ancestry
appg	APPG7555869	Female	UAE	United Arab Emirates 	longranger222_wgs_27038_APPG7555869_GRCh38_gatk	UAE8	EmiratiD	MEA	Middle Eastern Ancestry
appg	APPG7555870	Male	UAE	United Arab Emirates 	longranger222_wgs_27038_APPG7555870_GRCh38_gatk	UAE9	EmiratiA	MEA	Middle Eastern Ancestry
appg	APPG7555871	Male	UAE	United Arab Emirates 	longranger222_wgs_27038_3_APPG7555871_GRCh38_gatk	UAE11	EmiratiB	MEA	Middle Eastern Ancestry
appg	APPG7555872	Male	UAE	United Arab Emirates 	longranger222_wgs_27038_APPG7555872_GRCh38_gatk	UAE12	EmiratiC	MEA	Middle Eastern Ancestry
appg	APPG7555873	Male	UAE	United Arab Emirates 	longranger222_wgs_26965_APPG7555873_GRCh38_gatk	UAE13	EmiratiA	MEA	Middle Eastern Ancestry
appg	APPG7555874	Female	UAE	United Arab Emirates 	longranger222_wgs_26965_APPG7555874_GRCh38_gatk	UAE14	EmiratiB	MEA	Middle Eastern Ancestry
appg	APPG7555875	Female	UAE	United Arab Emirates 	longranger222_wgs_26965_APPG7555875_GRCh38_gatk	UAE15	EmiratiA	MEA	Middle Eastern Ancestry
appg	APPG7555876	Female	UAE	United Arab Emirates 	longranger222_wgs_26965_APPG7555876_GRCh38_gatk	UAE16	EmiratiD	MEA	Middle Eastern Ancestry
appg	APPG7555877	Male	UAE	United Arab Emirates 	longranger222_wgs_26965_APPG7555877_GRCh38_gatk	UAE17	EmiratiA	MEA	Middle Eastern Ancestry
appg	APPG7555878	Male	UAE	United Arab Emirates 	longranger222_wgs_26965_APPG7555878_GRCh38_gatk	UAE18	Emirati.o	MEA	Middle Eastern Ancestry
