sample	accession	center	platform	layout	library	description	fastq_r1	fastq_r2
CGG2012644	181214_K00234_0160_BH2WG7BBXY_ESW_TTP3_CGG2012644_S1_L001	CGG	ILLUMINA	SINGLE	CGG2012644	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/181214_K00234_0160_BH2WG7BBXY/Modern_Africans/ESW_TTP3_CGG2012644_S1_L001_R1_001.fastq.gz	
CGG2013653	181214_K00234_0160_BH2WG7BBXY_ESW_TTP3_CGG2013653_S2_L001	CGG	ILLUMINA	SINGLE	CGG2013653	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/181214_K00234_0160_BH2WG7BBXY/Modern_Africans/ESW_TTP3_CGG2013653_S2_L001_R1_001.fastq.gz	
CGG2013654	181214_K00234_0160_BH2WG7BBXY_ESW_TTP3_CGG2013654_S3_L001	CGG	ILLUMINA	SINGLE	CGG2013654	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/181214_K00234_0160_BH2WG7BBXY/Modern_Africans/ESW_TTP3_CGG2013654_S3_L001_R1_001.fastq.gz	
CGG2013657	181214_K00234_0160_BH2WG7BBXY_ESW_TTP3_CGG2013657_S4_L001	CGG	ILLUMINA	SINGLE	CGG2013657	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/181214_K00234_0160_BH2WG7BBXY/Modern_Africans/ESW_TTP3_CGG2013657_S4_L001_R1_001.fastq.gz	
CGG2014113	181214_K00234_0160_BH2WG7BBXY_ESW_TTP3_CGG2014113_S5_L001	CGG	ILLUMINA	SINGLE	CGG2014113	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/181214_K00234_0160_BH2WG7BBXY/Modern_Africans/ESW_TTP3_CGG2014113_S5_L001_R1_001.fastq.gz	
CGG2014115	181214_K00234_0160_BH2WG7BBXY_ESW_TTP3_CGG2014115_S6_L001	CGG	ILLUMINA	SINGLE	CGG2014115	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/181214_K00234_0160_BH2WG7BBXY/Modern_Africans/ESW_TTP3_CGG2014115_S6_L001_R1_001.fastq.gz	
CGG2014119	181214_K00234_0160_BH2WG7BBXY_ESW_TTP3_CGG2014119_S7_L001	CGG	ILLUMINA	SINGLE	CGG2014119	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/181214_K00234_0160_BH2WG7BBXY/Modern_Africans/ESW_TTP3_CGG2014119_S7_L001_R1_001.fastq.gz	
CGG2014127	181214_K00234_0160_BH2WG7BBXY_ESW_TTP3_CGG2014127_S8_L001	CGG	ILLUMINA	SINGLE	CGG2014127	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/181214_K00234_0160_BH2WG7BBXY/Modern_Africans/ESW_TTP3_CGG2014127_S8_L001_R1_001.fastq.gz	
CGG2014133	181214_K00234_0160_BH2WG7BBXY_ESW_TTP3_CGG2014133_S10_L001	CGG	ILLUMINA	SINGLE	CGG2014133	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/181214_K00234_0160_BH2WG7BBXY/Modern_Africans/ESW_TTP3_CGG2014133_S10_L001_R1_001.fastq.gz	
CGG2014141	181214_K00234_0160_BH2WG7BBXY_ESW_TTP3_CGG2014141_S11_L001	CGG	ILLUMINA	SINGLE	CGG2014141	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/181214_K00234_0160_BH2WG7BBXY/Modern_Africans/ESW_TTP3_CGG2014141_S11_L001_R1_001.fastq.gz	
CGG2014153	181214_K00234_0160_BH2WG7BBXY_ESW_TTP3_CGG2014153_S12_L001	CGG	ILLUMINA	SINGLE	CGG2014153	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/181214_K00234_0160_BH2WG7BBXY/Modern_Africans/ESW_TTP3_CGG2014153_S12_L001_R1_001.fastq.gz	
CGG2014156	181214_K00234_0160_BH2WG7BBXY_ESW_TTP3_CGG2014156_S13_L001	CGG	ILLUMINA	SINGLE	CGG2014156	evan.irvingpease@gmail.com	data/source/cgg-afr/fastq/181214_K00234_0160_BH2WG7BBXY/Modern_Africans/ESW_TTP3_CGG2014156_S13_L001_R1_001.fastq.gz	
