source	sample	sex	population	population_name	country	region	superpopulation	superpopulation_name	latitude	longitude
cgg-afr	CGG2014211	F	JU2	Juhoansi2	Namibia	SouthAfrica	AFR	African Ancestry	-19.675188	20.618559
cgg-afr	CGG2014216	F	JU2	Juhoansi2	Namibia	SouthAfrica	AFR	African Ancestry	-19.675188	20.618559
cgg-afr	CGG2014226	F	JU2	Juhoansi2	Namibia	SouthAfrica	AFR	African Ancestry	-19.675188	20.618559
cgg-afr	CGG2014233	F	JU2	Juhoansi2	Namibia	SouthAfrica	AFR	African Ancestry	-19.675188	20.618559
cgg-afr	CGG2014236	F	JU2	Juhoansi2	Namibia	SouthAfrica	AFR	African Ancestry	-19.591764	20.502751
cgg-afr	CGG2014304	M	VKU	VasekeleKung	Namibia	SouthAfrica	AFR	African Ancestry	-19.51769	19.73519
cgg-afr	CGG2014305	M	VKU	VasekeleKung	Namibia	SouthAfrica	AFR	African Ancestry	-19.51769	19.73519
cgg-afr	CGG2014308	F	VKU	VasekeleKung	Namibia	SouthAfrica	AFR	African Ancestry	-19.51769	19.73519
cgg-afr	CGG2014313	F	VKU	VasekeleKung	Namibia	SouthAfrica	AFR	African Ancestry	-19.51769	19.73519
cgg-afr	CGG2014319	F	VKU	VasekeleKung	Namibia	SouthAfrica	AFR	African Ancestry	-19.51769	19.73519
cgg-afr	CGG2014113	F	XOO	Xoon	Namibia	SouthAfrica	AFR	African Ancestry	-23.644283	19.919484
cgg-afr	CGG2014115	M	XOO	Xoon	Namibia	SouthAfrica	AFR	African Ancestry	-23.644283	19.919484
cgg-afr	CGG2014119	F	XOO	Xoon	Namibia	SouthAfrica	AFR	African Ancestry	-23.644283	19.919484
cgg-afr	CGG2014133	F	XOO	Xoon	Namibia	SouthAfrica	AFR	African Ancestry	-23.644283	19.919484
cgg-afr	CGG2014127	M	XON	XoonNoa	Namibia	SouthAfrica	AFR	African Ancestry	-23.644283	19.919484
cgg-afr	CGG2014141	M	HAX	HaiomXoms	Namibia	SouthAfrica	AFR	African Ancestry	-19.329446	15.938923
cgg-afr	CGG2014153	F	HAX	HaiomXoms	Namibia	SouthAfrica	AFR	African Ancestry	-19.000995	17.961109
cgg-afr	CGG2014156	F	HAX	HaiomXoms	Namibia	SouthAfrica	AFR	African Ancestry	-19.000995	17.961109
cgg-afr	CGG2014159	M	HAX	HaiomXoms	Namibia	SouthAfrica	AFR	African Ancestry	-19.000995	17.961109
cgg-afr	CGG2014160	M	HAX	HaiomXoms	Namibia	SouthAfrica	AFR	African Ancestry	-19.000995	17.961109
cgg-afr	CGG2013653	M	XHO	Xhosa	SouthAfrica	SouthAfrica	AFR	African Ancestry	NA	NA
cgg-afr	CGG2013654	M	XHO	Xhosa	SouthAfrica	SouthAfrica	AFR	African Ancestry	NA	NA
cgg-afr	CGG2013657	F	XHO	Xhosa	SouthAfrica	SouthAfrica	AFR	African Ancestry	NA	NA
cgg-afr	CGG2012406	M	THK	Tharaka	Kenya	EastAfrica	AFR	African Ancestry	0.05	37.633333
cgg-afr	CGG2012408	M	THK	Tharaka	Kenya	EastAfrica	AFR	African Ancestry	0.05	37.633333
cgg-afr	CGG2012409	F	THK	Tharaka	Kenya	EastAfrica	AFR	African Ancestry	0.05	37.633333
cgg-afr	CGG2012411	M	THK	Tharaka	Kenya	EastAfrica	AFR	African Ancestry	0.05	37.633333
cgg-afr	CGG2012412	F	THK	Tharaka	Kenya	EastAfrica	AFR	African Ancestry	0.05	37.633333
cgg-afr	CGG2012624	F	LOW	Lowarengak	Kenya	EastAfrica	AFR	African Ancestry	4.28	35.89
cgg-afr	CGG2012633	F	LOW	Lowarengak	Kenya	EastAfrica	AFR	African Ancestry	4.28	35.89
cgg-afr	CGG2012641	F	LOW	Lowarengak	Kenya	EastAfrica	AFR	African Ancestry	4.28	35.89
cgg-afr	CGG2012643	F	LOW	Lowarengak	Kenya	EastAfrica	AFR	African Ancestry	4.28	35.89
cgg-afr	CGG2012644	F	LOW	Lowarengak	Kenya	EastAfrica	AFR	African Ancestry	4.28	35.89
cgg-afr	CGG2012514	M	BON	Boni	Kenya	EastAfrica	AFR	African Ancestry	-2.3	40.7
cgg-afr	CGG2012520	M	BON	Boni	Kenya	EastAfrica	AFR	African Ancestry	-2.3	40.7
cgg-afr	CGG2012529	F	BON	Boni	Kenya	EastAfrica	AFR	African Ancestry	-2.3	40.7
cgg-afr	CGG2012538	M	BON	Boni	Kenya	EastAfrica	AFR	African Ancestry	-2.3	40.7
cgg-afr	CGG2012549	F	BON	Boni	Kenya	EastAfrica	AFR	African Ancestry	-2.3	40.7
