sample	accession	center	platform	layout	library	description	fastq_r1	fastq_r2
JHF05	131103_I329_FCC2GVHACXX_L1_SZAIPI034295-14	CGG	ILLUMINA	PAIRED	JHF05	evan.irvingpease@gmail.com	data/source/cgg-isa/fastq/JHF05/131103_I329_FCC2GVHACXX_L1_SZAIPI034295-14_1.clean.fq.gz	data/source/cgg-isa/fastq/JHF05/131103_I329_FCC2GVHACXX_L1_SZAIPI034295-14_2.clean.fq.gz
JHF05	131103_I329_FCC2GVHACXX_L2_SZAIPI034294-14	CGG	ILLUMINA	PAIRED	JHF05	evan.irvingpease@gmail.com	data/source/cgg-isa/fastq/JHF05/131103_I329_FCC2GVHACXX_L2_SZAIPI034294-14_1.clean.fq.gz	data/source/cgg-isa/fastq/JHF05/131103_I329_FCC2GVHACXX_L2_SZAIPI034294-14_2.clean.fq.gz
JHF05	131116_I596_FCC31L5ACXX_L7_SZAIPI034295-14	CGG	ILLUMINA	PAIRED	JHF05	evan.irvingpease@gmail.com	data/source/cgg-isa/fastq/JHF05/131116_I596_FCC31L5ACXX_L7_SZAIPI034295-14_1.clean.fq.gz	data/source/cgg-isa/fastq/JHF05/131116_I596_FCC31L5ACXX_L7_SZAIPI034295-14_2.clean.fq.gz
JHF05	131116_I596_FCC31L5ACXX_L8_SZAIPI034294-14	CGG	ILLUMINA	PAIRED	JHF05	evan.irvingpease@gmail.com	data/source/cgg-isa/fastq/JHF05/131116_I596_FCC31L5ACXX_L8_SZAIPI034294-14_1.clean.fq.gz	data/source/cgg-isa/fastq/JHF05/131116_I596_FCC31L5ACXX_L8_SZAIPI034294-14_2.clean.fq.gz
JHF05	131116_I596_FCC31TRACXX_L7_SZAIPI034295-14	CGG	ILLUMINA	PAIRED	JHF05	evan.irvingpease@gmail.com	data/source/cgg-isa/fastq/JHF05/131116_I596_FCC31TRACXX_L7_SZAIPI034295-14_1.clean.fq.gz	data/source/cgg-isa/fastq/JHF05/131116_I596_FCC31TRACXX_L7_SZAIPI034295-14_2.clean.fq.gz
JHF05	131116_I596_FCC31TRACXX_L8_SZAIPI034295-14	CGG	ILLUMINA	PAIRED	JHF05	evan.irvingpease@gmail.com	data/source/cgg-isa/fastq/JHF05/131116_I596_FCC31TRACXX_L8_SZAIPI034295-14_1.clean.fq.gz	data/source/cgg-isa/fastq/JHF05/131116_I596_FCC31TRACXX_L8_SZAIPI034295-14_2.clean.fq.gz
JHF05	131117_I338_FCD2H8PACXX_L5_SZAIPI034294-14	CGG	ILLUMINA	PAIRED	JHF05	evan.irvingpease@gmail.com	data/source/cgg-isa/fastq/JHF05/131117_I338_FCD2H8PACXX_L5_SZAIPI034294-14_1.clean.fq.gz	data/source/cgg-isa/fastq/JHF05/131117_I338_FCD2H8PACXX_L5_SZAIPI034294-14_2.clean.fq.gz
JHF05	131117_I338_FCD2H8PACXX_L6_SZAIPI034294-14	CGG	ILLUMINA	PAIRED	JHF05	evan.irvingpease@gmail.com	data/source/cgg-isa/fastq/JHF05/131117_I338_FCD2H8PACXX_L6_SZAIPI034294-14_1.clean.fq.gz	data/source/cgg-isa/fastq/JHF05/131117_I338_FCD2H8PACXX_L6_SZAIPI034294-14_2.clean.fq.gz
JHM06	131103_I329_FCC2GVHACXX_L7_SZAIPI034301-17	CGG	ILLUMINA	PAIRED	JHM06	evan.irvingpease@gmail.com	data/source/cgg-isa/fastq/JHM06/131103_I329_FCC2GVHACXX_L7_SZAIPI034301-17_1.clean.fq.gz	data/source/cgg-isa/fastq/JHM06/131103_I329_FCC2GVHACXX_L7_SZAIPI034301-17_2.clean.fq.gz
JHM06	131103_I329_FCC2GVHACXX_L8_SZAIPI034300-17	CGG	ILLUMINA	PAIRED	JHM06	evan.irvingpease@gmail.com	data/source/cgg-isa/fastq/JHM06/131103_I329_FCC2GVHACXX_L8_SZAIPI034300-17_1.clean.fq.gz	data/source/cgg-isa/fastq/JHM06/131103_I329_FCC2GVHACXX_L8_SZAIPI034300-17_2.clean.fq.gz
