ID	Assembly_ID	Diversity Set: 447	Selection Set: 369	Population group in Selection analyses	See KING_relatives_allchr if not 0	Sex	Y chr haplogroup	Population	location	Country_of_origin	Continent_region_of_origin	Subregion	Language group	comment	x (rounded for privacy reasons)	y (rounded for privacy reasons)	sample_type	CG_metrics	Unusual_metrics_Junctions	Unusual_metrics_MEIs	Unusual_metrics_SVs	Unusual_metrics_RepeatRegionSNPs	Unusual_metrics_CNVs	publication	dbSNP_version	CG-software version	CG-software format version	ID_chipdata	ID_chipdata_from_data	ID_chipdata_chip_duplicate or pedigree ID for estonians	CG_Sample_ID	Deliverable_ID	Assembly_ID	diversity and selection	approximate #  makers on chip	Illumina bead chip version
ASW_2	NA19701-200-37-ASM	1	1	"Africa, W&C"	0	female		African-Americans	SW_USA	USA	Africa	African-Americans	NA	African_ancestry_in_Southwest_USA - random coordinates in west africa	9.1	-3	NA	No info						Drmanac et al 2010	132	2.0.0.26	2	NA					NA19701-200-37-ASM	TRUE		
ASW_4	NA19704-200-37-ASM	1	1	"Africa, W&C"	0	female		African-Americans	SW_USA	USA	Africa	African-Americans	NA	African_ancestry_in_Southwest_USA - random coordinates in west africa	9.1	-3	NA	No info						Drmanac et al 2010	132	2.0.0.26	2	NA					NA19704-200-37-ASM	TRUE		
ASW_1	NA19700-200-37-ASM	1	1	"Africa, W&C"	0	male	E1a2	African-Americans	SW_USA	USA	Africa	African-Americans	NA	African_ancestry_in_Southwest_USA - random coordinates in west africa	9.1	-3	NA	No info						Drmanac et al 2010	132	2.0.0.26	2	NA					NA19700-200-37-ASM	TRUE		
ASW_3	NA19703-200-37-ASM	1	1	"Africa, W&C"	0	male	E1a2	African-Americans	SW_USA	USA	Africa	African-Americans	NA	African_ancestry_in_Southwest_USA - random coordinates in west africa	9.1	-3	NA	No info						Drmanac et al 2010	132	2.0.0.26	2	NA					NA19703-200-37-ASM	TRUE		
ASW_5	NA19834-200-37-ASM	1	1	"Africa, W&C"	0	male	E1a1	African-Americans	SW_USA	USA	Africa	African-Americans	NA	African_ancestry_in_Southwest_USA - random coordinates in west africa	9.1	-3	NA	No info						Drmanac et al 2010	132	2.0.0.26	2	NA					NA19834-200-37-ASM	TRUE		
BakaPy1	GS00319-DNA_A01_1100_37-ASM	1	1	"Africa, W&C"	0	male	B4	Baka-Pygmies	SE-Cameroon	Cameroon	Africa	Sub-Saharan Africa	Niger-Congo/Atlantic-Congo/Ubangian	Region in country from Wikipedia	2.9	14.3	NA	No info						Lachance et al 2012	131	1.3.0	1.5	NA					GS00319-DNA_A01_1100_37-ASM	TRUE		
BakaPy2	GS00319-DNA_B01_1100_37-ASM	1	1	"Africa, W&C"	0	male	E1a1	Baka-Pygmies	SE-Cameroon	Cameroon	Africa	Sub-Saharan Africa	Niger-Congo/Atlantic-Congo/Ubangian	Region in country from Wikipedia	2.9	14.3	NA	No info						Lachance et al 2012	131	1.3.0	1.5	NA					GS00319-DNA_B01_1100_37-ASM	TRUE		
BakaPy3	GS00319-DNA_C01_1100_37-ASM	1	1	"Africa, W&C"	0	male	B4	Baka-Pygmies	SE-Cameroon	Cameroon	Africa	Sub-Saharan Africa	Niger-Congo/Atlantic-Congo/Ubangian	Region in country from Wikipedia	2.9	14.3	NA	No info						Lachance et al 2012	131	1.3.0	1.5	NA					GS00319-DNA_C01_1100_37-ASM	TRUE		
BakoPy1	GS00319-DNA_D01_1100_37-ASM	1	1	"Africa, W&C"	0	male	E1a1	Bakola-Pygmies	SE-Cameroon	Cameroon	Africa	Sub-Saharan Africa	Niger-Congo/Atlantic-Congo	Region in country from Wikipedia	2.9	14.3	NA	No info						Lachance et al 2012	131	1.3.0	1.5	NA					GS00319-DNA_D01_1100_37-ASM	TRUE		
BedzPy1	GS00319-DNA_E01_1100_37-ASM	1	1	"Africa, W&C"	0	male	E1a2	Bedzan-Pygmies	SE-Cameroon	Cameroon	Africa	Sub-Saharan Africa	Niger-Congo/Atlantic-Congo/Tikar	Region in country from Wikipedia	2.9	14.3	NA	No info						Lachance et al 2012	131	1.3.0	1.5	NA					GS00319-DNA_E01_1100_37-ASM	TRUE		
