source	sample	sex	population	population_name	population_desc	superpopulation	superpopulation_name	latitude	longitude
egta	CongPy1	male	CNP	Congo pygmy	Congo-pygmies, Congo	AFR	African Ancestry	15.9	0.9
egta	CongPy3	male	CNP	Congo pygmy	Congo-pygmies, Congo	AFR	African Ancestry	15.9	0.9
egta	CongPy6	male	CNP	Congo pygmy	Congo-pygmies, Congo	AFR	African Ancestry	15.9	0.9
egta	Cachi1	female	CCH	Cachi	Cachi, Salta_Cachi, Argentina	AMR	American Ancestry	-66.2	-25.1
egta	Cachi2	female	CCH	Cachi	Cachi, Salta_Cachi, Argentina	AMR	American Ancestry	-66.2	-25.1
egta	Cachi3	male	CCH	Cachi	Cachi, Salta_Cachi, Argentina	AMR	American Ancestry	-66.2	-25.1
egta	Cachi4	male	CCH	Cachi	Cachi, Salta_Cachi, Argentina	AMR	American Ancestry	-66.2	-25.1
egta	Cachi5	male	CCH	Cachi	Cachi, Salta_Cachi, Argentina	AMR	American Ancestry	-66.2	-25.1
egta	Colla1	female	CLL	Colla	Colla, Salta_San_Antonio_de_los_Cobres, Argentina	AMR	American Ancestry	-66.3	-24.2
egta	Colla2	female	CLL	Colla	Colla, Salta_San_Antonio_de_los_Cobres, Argentina	AMR	American Ancestry	-66.3	-24.2
egta	Colla3	female	CLL	Colla	Colla, Salta_San_Antonio_de_los_Cobres, Argentina	AMR	American Ancestry	-66.3	-24.2
egta	Colla4	male	CLL	Colla	Colla, Salta_San_Antonio_de_los_Cobres, Argentina	AMR	American Ancestry	-66.3	-24.2
egta	Wichi1	female	WCH	Wichi	Wichi, Salta_Embarcaci—n, Argentina	AMR	American Ancestry	-64.1	-23.2
egta	Wichi2	female	WCH	Wichi	Wichi, Salta_Embarcaci—n, Argentina	AMR	American Ancestry	-64.1	-23.2
egta	Wichi3	male	WCH	Wichi	Wichi, Salta_Embarcaci—n, Argentina	AMR	American Ancestry	-64.1	-23.2
egta	Wichi4	male	WCH	Wichi	Wichi, Salta_Embarcaci—n, Argentina	AMR	American Ancestry	-64.1	-23.2
egta	Abkhaz1	female	ABK	Abkhasian	Abkhazians, Abkhazia, Georgia	WEA	West Eurasian Ancestry	40.8	43.2
egta	Abkhaz5	male	ABK	Abkhasian	Abkhazians, Abkhazia_Gudauta, Georgia	WEA	West Eurasian Ancestry	40.6	43.1
egta	Abkhaz6	male	ABK	Abkhasian	Abkhazians, Abkhazia_Lykhny, Georgia	WEA	West Eurasian Ancestry	40.6	43.1
egta	Armen3	male	ARM	Armenian	Armenians, Yerevan, Armenia	WEA	West Eurasian Ancestry	46.4	40.6
egta	Armen7	male	ARM	Armenian	Armenians, Yerevan, Armenia	WEA	West Eurasian Ancestry	42	39.9
egta	Armen1	male	ARM	Armenian	Armenians, Vardenis, Armenia	WEA	West Eurasian Ancestry	45.7	40.2
egta	Armen2	male	ARM	Armenian	Armenians, Yerevan, Armenia	WEA	West Eurasian Ancestry	44.5	40.2
egta	Armen5	male	ARM	Armenian	Armenians, Vanatur_Hrazdan, Armenia	WEA	West Eurasian Ancestry	44.8	40.5
egta	Armen4	male	ARM	Armenian	Armenians, Erzrum, Armenia	WEA	West Eurasian Ancestry	41.3	39.9
egta	Avar12	female	AVR	Avar	Avars, Dagestan_Khunzakh, Russia	WEA	West Eurasian Ancestry	46.7	42.5
egta	Avar1	male	AVR	Avar	Avars, Dagestan_Shangoda, Russia	WEA	West Eurasian Ancestry	47	42.2
egta	Avar9	male	AVR	Avar	Avars, Dagestan_Gergebil, Russia	WEA	West Eurasian Ancestry	47.1	42.5
egta	Azerb14	female	AZR	Azerbaijani	Azerbaijanis, Azerbaijan_Khachmaz, Azerbaijan	WEA	West Eurasian Ancestry	48.8	41.5
egta	Azerb13	male	AZR	Azerbaijani	Azerbaijanis, Azerbaijan_Agdzhabedi, Azerbaijan	WEA	West Eurasian Ancestry	47.5	40.1
egta	Azerb24	male	AZR	Azerbaijani	Azerbaijanis, Dagestan, Russia	WEA	West Eurasian Ancestry	48.3	41.8
egta	Balkar1	female	BLK	Balkar	Balkars, Kabardino_Bakaria_Byllym, Russia	WEA	West Eurasian Ancestry	43	43.5
egta	Balkar4	female	BLK	Balkar	Balkars, Kabardino_Bakaria_Nalchik, Russia	WEA	West Eurasian Ancestry	43.6	43.5
egta	Balkar2	male	BLK	Balkar	Balkars, Kabardino_Bakaria_Novaja-Balkarija, Russia	WEA	West Eurasian Ancestry	44.2	43.7
egta	Cirkas1	female	CRC	Circassian	Circassians, Karachay_Cherkessia_Cherkessk, Russia	WEA	West Eurasian Ancestry	42.1	44.2
egta	Cirkas2	male	CRC	Circassian	Circassians, Russia	WEA	West Eurasian Ancestry	40	44.7
egta	Cirkas3	male	CRC	Circassian	Circassians, Russia	WEA	West Eurasian Ancestry	40	44.7
egta	Georg1	male	GRG	Georgian	Georgians, Abkhazia, Georgia	WEA	West Eurasian Ancestry	41.4	43
egta	Georg2	male	GRG	Georgian	Georgians, Georgia	WEA	West Eurasian Ancestry	44.7	41.8
egta	Kabard1	female	KBR	Kabardin	Kabardins, Kabardino_Bakaria_Nalchik, Russia	WEA	West Eurasian Ancestry	43.6	43.5
egta	Kabard2	female	KBR	Kabardin	Kabardins, Kabardino_Bakaria_Zajukovo, Russia	WEA	West Eurasian Ancestry	43.3	43.6
egta	Kabard4	male	KBR	Kabardin	Kabardins, Kabardino_Bakaria_Nalchik, Russia	WEA	West Eurasian Ancestry	43.6	43.5
egta	Kabard3	male	KBR	Kabardin	Kabardins, Russia	WEA	West Eurasian Ancestry	43.4	43.6
egta	Kumk1	female	KMY	Kumyk	Kumyks, Dagestan_Karabudakhkentsky, Russia	WEA	West Eurasian Ancestry	47.6	42.7
