project	sample	accession	center	platform	instrument	library	layout	description	fastq_r1_md5	fastq_r2_md5	fastq_r1_ftp	fastq_r2_ftp	fastq_r1	fastq_r2
PRJEB3013	SC_GMFUL5306338	ERR159209	Wellcome Sanger Institute	ILLUMINA	Illumina HiSeq 2000	4922069	PAIRED	Low_coverage_sequencing_of_the_Fula_from_Gambia_Western_Division__GWF_	4a33dc4f663609989567aa94c79bfcaf	e07a4f1a6dd2712525c0313a2af24fc2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/ERR159209/ERR159209_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/ERR159209/ERR159209_2.fastq.gz	data/source/ggvp/fastq/ERR159209_r1.fastq.gz	data/source/ggvp/fastq/ERR159209_r2.fastq.gz
PRJEB3013	SC_GMFUL5306339	ERR159210	Wellcome Sanger Institute	ILLUMINA	Illumina HiSeq 2000	4922057	PAIRED	Low_coverage_sequencing_of_the_Fula_from_Gambia_Western_Division__GWF_	c83edd891b1b70c9b1e5792876b8ff96	d8bac65b8daf81cb83eef04f45f4d2b2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/ERR159210/ERR159210_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/ERR159210/ERR159210_2.fastq.gz	data/source/ggvp/fastq/ERR159210_r1.fastq.gz	data/source/ggvp/fastq/ERR159210_r2.fastq.gz
PRJEB3013	SC_GMFUL5306340	ERR159211	Wellcome Sanger Institute	ILLUMINA	Illumina HiSeq 2000	4922045	PAIRED	Low_coverage_sequencing_of_the_Fula_from_Gambia_Western_Division__GWF_	da382312ac5de197b6f65d8378726826	7955be7d0286b550a9b4fd0ec5ce3a9c	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/ERR159211/ERR159211_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/ERR159211/ERR159211_2.fastq.gz	data/source/ggvp/fastq/ERR159211_r1.fastq.gz	data/source/ggvp/fastq/ERR159211_r2.fastq.gz
PRJEB3013	SC_GMFUL5306341	ERR159212	Wellcome Sanger Institute	ILLUMINA	Illumina HiSeq 2000	4922033	PAIRED	Low_coverage_sequencing_of_the_Fula_from_Gambia_Western_Division__GWF_	31603343f7de7b32e78dd91c286e4586	84ed295926a058dd6ff7c946e1a1ed9e	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/ERR159212/ERR159212_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/ERR159212/ERR159212_2.fastq.gz	data/source/ggvp/fastq/ERR159212_r1.fastq.gz	data/source/ggvp/fastq/ERR159212_r2.fastq.gz
PRJEB3013	SC_GMFUL5306343	ERR159213	Wellcome Sanger Institute	ILLUMINA	Illumina HiSeq 2000	4922021	PAIRED	Low_coverage_sequencing_of_the_Fula_from_Gambia_Western_Division__GWF_	f9e72f52a9d4dd5ba0e1b9a7101a9fed	10575c66b64642bf82c6d60ae26b86d4	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/ERR159213/ERR159213_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/ERR159213/ERR159213_2.fastq.gz	data/source/ggvp/fastq/ERR159213_r1.fastq.gz	data/source/ggvp/fastq/ERR159213_r2.fastq.gz
PRJEB3013	SC_GMFUL5306344	ERR159214	Wellcome Sanger Institute	ILLUMINA	Illumina HiSeq 2000	4922009	PAIRED	Low_coverage_sequencing_of_the_Fula_from_Gambia_Western_Division__GWF_	0e0108425a2d49fa99cceec6d124eb85	7865e9e524d7da01776a8267ec7934e4	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/ERR159214/ERR159214_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/ERR159214/ERR159214_2.fastq.gz	data/source/ggvp/fastq/ERR159214_r1.fastq.gz	data/source/ggvp/fastq/ERR159214_r2.fastq.gz
PRJEB3013	SC_GMFUL5306345	ERR159215	Wellcome Sanger Institute	ILLUMINA	Illumina HiSeq 2000	4921997	PAIRED	Low_coverage_sequencing_of_the_Fula_from_Gambia_Western_Division__GWF_	f82dcca4d586a40b16f5037ecfac899d	7df7933451f53e1d9312e56873de04c0	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/ERR159215/ERR159215_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/ERR159215/ERR159215_2.fastq.gz	data/source/ggvp/fastq/ERR159215_r1.fastq.gz	data/source/ggvp/fastq/ERR159215_r2.fastq.gz
PRJEB3013	SC_GMFUL5306346	ERR159216	Wellcome Sanger Institute	ILLUMINA	Illumina HiSeq 2000	4921985	PAIRED	Low_coverage_sequencing_of_the_Fula_from_Gambia_Western_Division__GWF_	52b000ac89670768d2134eb038a8c684	e4328dd052620c0f788dabff4238f41f	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/ERR159216/ERR159216_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/ERR159216/ERR159216_2.fastq.gz	data/source/ggvp/fastq/ERR159216_r1.fastq.gz	data/source/ggvp/fastq/ERR159216_r2.fastq.gz
PRJEB3013	SC_GMFUL5306338	ERR159217	Wellcome Sanger Institute	ILLUMINA	Illumina HiSeq 2000	4922069	PAIRED	Low_coverage_sequencing_of_the_Fula_from_Gambia_Western_Division__GWF_	e01b8dee30cf9311b1ea0d184ce9ac36	f8f14aea7a468f0cbdbca1f685f5b358	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/ERR159217/ERR159217_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/ERR159217/ERR159217_2.fastq.gz	data/source/ggvp/fastq/ERR159217_r1.fastq.gz	data/source/ggvp/fastq/ERR159217_r2.fastq.gz
PRJEB3013	SC_GMFUL5306339	ERR159218	Wellcome Sanger Institute	ILLUMINA	Illumina HiSeq 2000	4922057	PAIRED	Low_coverage_sequencing_of_the_Fula_from_Gambia_Western_Division__GWF_	d0156c418ca181a55638d212b9f7519b	b727b650c73fddb07ef90779a2c2828b	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/ERR159218/ERR159218_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/ERR159218/ERR159218_2.fastq.gz	data/source/ggvp/fastq/ERR159218_r1.fastq.gz	data/source/ggvp/fastq/ERR159218_r2.fastq.gz
