source	sample	population	population_name	superpopulation	superpopulation_name
ggvp	SC_GMFUL5306338	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306339	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306340	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306341	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306343	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306344	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306345	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306346	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306347	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306348	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306349	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306351	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306352	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306353	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306354	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306355	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306356	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306357	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306359	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306360	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306361	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306362	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306363	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306366	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306367	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306369	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306370	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306371	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306374	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306375	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306377	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306378	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306379	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306382	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306383	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306385	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306387	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306388	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306389	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306390	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306391	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306392	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306395	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306396	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306397	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306398	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306399	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306400	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306403	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306404	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306405	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306406	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306407	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306408	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306410	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306411	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306412	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306413	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306415	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306416	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306418	GWF	Gambian Fula	AFR	African Ancestry
ggvp	SC_GMFUL5306419	GWF	Gambian Fula	AFR	African Ancestry
