source	sample	sex	population	population_name	population_desc	superpopulation	superpopulation_name	latitude	longitude
ggvp	SC_GMFUL5306338	female	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMFUL5306339	female	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMFUL5306340	female	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMFUL5306341	male	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMFUL5306343	female	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMFUL5306344	male	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMFUL5306345	female	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMFUL5306346	male	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMFUL5306347	male	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMFUL5306348	male	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMFUL5306349	male	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMFUL5306351	male	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMFUL5306352	male	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMFUL5306353	male	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMFUL5306354	female	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMFUL5306355	female	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMFUL5306356	female	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMFUL5306357	female	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMFUL5306359	female	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMFUL5306360	female	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMFUL5306361	female	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMFUL5306362	male	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMFUL5306363	male	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMFUL5306366	male	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMFUL5306367	male	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMFUL5306369	male	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMFUL5306370	male	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMFUL5306371	male	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMFUL5306374	male	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMFUL5306375	male	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMFUL5306377	male	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMFUL5306378	female	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMFUL5306379	female	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMFUL5306382	female	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMFUL5306383	female	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMFUL5306385	female	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMFUL5306387	male	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMFUL5306388	male	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMFUL5306389	male	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMFUL5306390	female	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMFUL5306391	female	GWF	Gambian Fula	Gambian in Western Division, The Gambia - Fula	AFR	African Ancestry	13.454876	-16.579032
