sample	vcf_ftp	tbi_ftp
HGDP00224	ftp://ngs.sanger.ac.uk/production/hgdp/hgdp_wgs.20190516/gVCFs.10x/HGDP00224.hgdp_wgs.20190516.phase10x.vcf.gz	ftp://ngs.sanger.ac.uk/production/hgdp/hgdp_wgs.20190516/gVCFs.10x/HGDP00224.hgdp_wgs.20190516.phase10x.vcf.gz.tbi
HGDP00228	ftp://ngs.sanger.ac.uk/production/hgdp/hgdp_wgs.20190516/gVCFs.10x/HGDP00228.hgdp_wgs.20190516.phase10x.vcf.gz	ftp://ngs.sanger.ac.uk/production/hgdp/hgdp_wgs.20190516/gVCFs.10x/HGDP00228.hgdp_wgs.20190516.phase10x.vcf.gz.tbi
HGDP00450	ftp://ngs.sanger.ac.uk/production/hgdp/hgdp_wgs.20190516/gVCFs.10x/HGDP00450.hgdp_wgs.20190516.phase10x.vcf.gz	ftp://ngs.sanger.ac.uk/production/hgdp/hgdp_wgs.20190516/gVCFs.10x/HGDP00450.hgdp_wgs.20190516.phase10x.vcf.gz.tbi
HGDP00460	ftp://ngs.sanger.ac.uk/production/hgdp/hgdp_wgs.20190516/gVCFs.10x/HGDP00460.hgdp_wgs.20190516.phase10x.vcf.gz	ftp://ngs.sanger.ac.uk/production/hgdp/hgdp_wgs.20190516/gVCFs.10x/HGDP00460.hgdp_wgs.20190516.phase10x.vcf.gz.tbi
HGDP00472	ftp://ngs.sanger.ac.uk/production/hgdp/hgdp_wgs.20190516/gVCFs.10x/HGDP00472.hgdp_wgs.20190516.phase10x.vcf.gz	ftp://ngs.sanger.ac.uk/production/hgdp/hgdp_wgs.20190516/gVCFs.10x/HGDP00472.hgdp_wgs.20190516.phase10x.vcf.gz.tbi
HGDP00542	ftp://ngs.sanger.ac.uk/production/hgdp/hgdp_wgs.20190516/gVCFs.10x/HGDP00542.hgdp_wgs.20190516.phase10x.vcf.gz	ftp://ngs.sanger.ac.uk/production/hgdp/hgdp_wgs.20190516/gVCFs.10x/HGDP00542.hgdp_wgs.20190516.phase10x.vcf.gz.tbi
HGDP00562	ftp://ngs.sanger.ac.uk/production/hgdp/hgdp_wgs.20190516/gVCFs.10x/HGDP00562.hgdp_wgs.20190516.phase10x.vcf.gz	ftp://ngs.sanger.ac.uk/production/hgdp/hgdp_wgs.20190516/gVCFs.10x/HGDP00562.hgdp_wgs.20190516.phase10x.vcf.gz.tbi
HGDP00580	ftp://ngs.sanger.ac.uk/production/hgdp/hgdp_wgs.20190516/gVCFs.10x/HGDP00580.hgdp_wgs.20190516.phase10x.vcf.gz	ftp://ngs.sanger.ac.uk/production/hgdp/hgdp_wgs.20190516/gVCFs.10x/HGDP00580.hgdp_wgs.20190516.phase10x.vcf.gz.tbi
HGDP00670	ftp://ngs.sanger.ac.uk/production/hgdp/hgdp_wgs.20190516/gVCFs.10x/HGDP00670.hgdp_wgs.20190516.phase10x.vcf.gz	ftp://ngs.sanger.ac.uk/production/hgdp/hgdp_wgs.20190516/gVCFs.10x/HGDP00670.hgdp_wgs.20190516.phase10x.vcf.gz.tbi
HGDP00774	ftp://ngs.sanger.ac.uk/production/hgdp/hgdp_wgs.20190516/gVCFs.10x/HGDP00774.hgdp_wgs.20190516.phase10x.vcf.gz	ftp://ngs.sanger.ac.uk/production/hgdp/hgdp_wgs.20190516/gVCFs.10x/HGDP00774.hgdp_wgs.20190516.phase10x.vcf.gz.tbi
