source	sample	population	population_name	superpopulation	superpopulation_name
hgdp	HGDP00001	BRA	Brahui	CSA	Central and South Asian Ancestry
hgdp	HGDP00003	BRA	Brahui	CSA	Central and South Asian Ancestry
hgdp	HGDP00005	BRA	Brahui	CSA	Central and South Asian Ancestry
hgdp	HGDP00007	BRA	Brahui	CSA	Central and South Asian Ancestry
hgdp	HGDP00009	BRA	Brahui	CSA	Central and South Asian Ancestry
hgdp	HGDP00011	BRA	Brahui	CSA	Central and South Asian Ancestry
hgdp	HGDP00013	BRA	Brahui	CSA	Central and South Asian Ancestry
hgdp	HGDP00015	BRA	Brahui	CSA	Central and South Asian Ancestry
hgdp	HGDP00017	BRA	Brahui	CSA	Central and South Asian Ancestry
hgdp	HGDP00021	BRA	Brahui	CSA	Central and South Asian Ancestry
hgdp	HGDP00023	BRA	Brahui	CSA	Central and South Asian Ancestry
hgdp	HGDP00025	BRA	Brahui	CSA	Central and South Asian Ancestry
hgdp	HGDP00029	BRA	Brahui	CSA	Central and South Asian Ancestry
hgdp	HGDP00031	BRA	Brahui	CSA	Central and South Asian Ancestry
hgdp	HGDP00033	BRA	Brahui	CSA	Central and South Asian Ancestry
hgdp	HGDP00035	BRA	Brahui	CSA	Central and South Asian Ancestry
hgdp	HGDP00037	BRA	Brahui	CSA	Central and South Asian Ancestry
hgdp	HGDP00039	BRA	Brahui	CSA	Central and South Asian Ancestry
hgdp	HGDP00041	BRA	Brahui	CSA	Central and South Asian Ancestry
hgdp	HGDP00043	BRA	Brahui	CSA	Central and South Asian Ancestry
hgdp	HGDP00045	BRA	Brahui	CSA	Central and South Asian Ancestry
hgdp	HGDP00047	BRA	Brahui	CSA	Central and South Asian Ancestry
hgdp	HGDP00049	BRA	Brahui	CSA	Central and South Asian Ancestry
hgdp	HGDP00052	BLC	Balochi	CSA	Central and South Asian Ancestry
hgdp	HGDP00054	BLC	Balochi	CSA	Central and South Asian Ancestry
hgdp	HGDP00056	BLC	Balochi	CSA	Central and South Asian Ancestry
hgdp	HGDP00057	BLC	Balochi	CSA	Central and South Asian Ancestry
hgdp	HGDP00060	BLC	Balochi	CSA	Central and South Asian Ancestry
hgdp	HGDP00062	BLC	Balochi	CSA	Central and South Asian Ancestry
hgdp	HGDP00064	BLC	Balochi	CSA	Central and South Asian Ancestry
hgdp	HGDP00066	BLC	Balochi	CSA	Central and South Asian Ancestry
hgdp	HGDP00068	BLC	Balochi	CSA	Central and South Asian Ancestry
hgdp	HGDP00070	BLC	Balochi	CSA	Central and South Asian Ancestry
hgdp	HGDP00072	BLC	Balochi	CSA	Central and South Asian Ancestry
hgdp	HGDP00074	BLC	Balochi	CSA	Central and South Asian Ancestry
hgdp	HGDP00076	BLC	Balochi	CSA	Central and South Asian Ancestry
hgdp	HGDP00078	BLC	Balochi	CSA	Central and South Asian Ancestry
hgdp	HGDP00080	BLC	Balochi	CSA	Central and South Asian Ancestry
hgdp	HGDP00082	BLC	Balochi	CSA	Central and South Asian Ancestry
hgdp	HGDP00086	BLC	Balochi	CSA	Central and South Asian Ancestry
hgdp	HGDP00088	BLC	Balochi	CSA	Central and South Asian Ancestry
hgdp	HGDP00092	BLC	Balochi	CSA	Central and South Asian Ancestry
hgdp	HGDP00094	BLC	Balochi	CSA	Central and South Asian Ancestry
hgdp	HGDP00096	BLC	Balochi	CSA	Central and South Asian Ancestry
hgdp	HGDP00098	BLC	Balochi	CSA	Central and South Asian Ancestry
hgdp	HGDP00099	HZR	Hazara	CSA	Central and South Asian Ancestry
hgdp	HGDP00100	HZR	Hazara	CSA	Central and South Asian Ancestry
hgdp	HGDP00102	HZR	Hazara	CSA	Central and South Asian Ancestry
hgdp	HGDP00103	HZR	Hazara	CSA	Central and South Asian Ancestry
hgdp	HGDP00104	HZR	Hazara	CSA	Central and South Asian Ancestry
hgdp	HGDP00105	HZR	Hazara	CSA	Central and South Asian Ancestry
hgdp	HGDP00106	HZR	Hazara	CSA	Central and South Asian Ancestry
hgdp	HGDP00108	HZR	Hazara	CSA	Central and South Asian Ancestry
hgdp	HGDP00109	HZR	Hazara	CSA	Central and South Asian Ancestry
hgdp	HGDP00110	HZR	Hazara	CSA	Central and South Asian Ancestry
hgdp	HGDP00115	HZR	Hazara	CSA	Central and South Asian Ancestry
hgdp	HGDP00118	HZR	Hazara	CSA	Central and South Asian Ancestry
hgdp	HGDP00119	HZR	Hazara	CSA	Central and South Asian Ancestry
hgdp	HGDP00120	HZR	Hazara	CSA	Central and South Asian Ancestry
hgdp	HGDP00121	HZR	Hazara	CSA	Central and South Asian Ancestry
hgdp	HGDP00122	HZR	Hazara	CSA	Central and South Asian Ancestry
hgdp	HGDP00127	HZR	Hazara	CSA	Central and South Asian Ancestry
hgdp	HGDP00129	HZR	Hazara	CSA	Central and South Asian Ancestry
