source	sample	sex	population	population_name	population_desc	superpopulation	superpopulation_name	latitude	longitude
hgdp	HGDP00001	male	BRA	Brahui	Brahui in Pakistan	CSA	Central and South Asian Ancestry	30.5	66.5
hgdp	HGDP00003	male	BRA	Brahui	Brahui in Pakistan	CSA	Central and South Asian Ancestry	30.5	66.5
hgdp	HGDP00005	male	BRA	Brahui	Brahui in Pakistan	CSA	Central and South Asian Ancestry	30.5	66.5
hgdp	HGDP00007	male	BRA	Brahui	Brahui in Pakistan	CSA	Central and South Asian Ancestry	30.5	66.5
hgdp	HGDP00009	male	BRA	Brahui	Brahui in Pakistan	CSA	Central and South Asian Ancestry	30.5	66.5
hgdp	HGDP00011	male	BRA	Brahui	Brahui in Pakistan	CSA	Central and South Asian Ancestry	30.5	66.5
hgdp	HGDP00013	male	BRA	Brahui	Brahui in Pakistan	CSA	Central and South Asian Ancestry	30.5	66.5
hgdp	HGDP00015	male	BRA	Brahui	Brahui in Pakistan	CSA	Central and South Asian Ancestry	30.5	66.5
hgdp	HGDP00017	male	BRA	Brahui	Brahui in Pakistan	CSA	Central and South Asian Ancestry	30.5	66.5
hgdp	HGDP00021	male	BRA	Brahui	Brahui in Pakistan	CSA	Central and South Asian Ancestry	30.5	66.5
hgdp	HGDP00023	male	BRA	Brahui	Brahui in Pakistan	CSA	Central and South Asian Ancestry	30.5	66.5
hgdp	HGDP00025	male	BRA	Brahui	Brahui in Pakistan	CSA	Central and South Asian Ancestry	30.5	66.5
hgdp	HGDP00029	male	BRA	Brahui	Brahui in Pakistan	CSA	Central and South Asian Ancestry	30.5	66.5
hgdp	HGDP00031	male	BRA	Brahui	Brahui in Pakistan	CSA	Central and South Asian Ancestry	30.5	66.5
hgdp	HGDP00033	male	BRA	Brahui	Brahui in Pakistan	CSA	Central and South Asian Ancestry	30.5	66.5
hgdp	HGDP00035	male	BRA	Brahui	Brahui in Pakistan	CSA	Central and South Asian Ancestry	30.5	66.5
hgdp	HGDP00037	male	BRA	Brahui	Brahui in Pakistan	CSA	Central and South Asian Ancestry	30.5	66.5
hgdp	HGDP00039	male	BRA	Brahui	Brahui in Pakistan	CSA	Central and South Asian Ancestry	30.5	66.5
hgdp	HGDP00041	male	BRA	Brahui	Brahui in Pakistan	CSA	Central and South Asian Ancestry	30.5	66.5
hgdp	HGDP00043	male	BRA	Brahui	Brahui in Pakistan	CSA	Central and South Asian Ancestry	30.5	66.5
hgdp	HGDP00045	male	BRA	Brahui	Brahui in Pakistan	CSA	Central and South Asian Ancestry	30.5	66.5
hgdp	HGDP00047	male	BRA	Brahui	Brahui in Pakistan	CSA	Central and South Asian Ancestry	30.5	66.5
hgdp	HGDP00049	male	BRA	Brahui	Brahui in Pakistan	CSA	Central and South Asian Ancestry	30.5	66.5
hgdp	HGDP00052	male	BLC	Balochi	Balochi in Pakistan	CSA	Central and South Asian Ancestry	30.5	66.5
hgdp	HGDP00054	male	BLC	Balochi	Balochi in Pakistan	CSA	Central and South Asian Ancestry	30.5	66.5
hgdp	HGDP00056	male	BLC	Balochi	Balochi in Pakistan	CSA	Central and South Asian Ancestry	30.5	66.5
hgdp	HGDP00057	male	BLC	Balochi	Balochi in Pakistan	CSA	Central and South Asian Ancestry	30.5	66.5
hgdp	HGDP00060	male	BLC	Balochi	Balochi in Pakistan	CSA	Central and South Asian Ancestry	30.5	66.5
hgdp	HGDP00062	male	BLC	Balochi	Balochi in Pakistan	CSA	Central and South Asian Ancestry	30.5	66.5
hgdp	HGDP00064	male	BLC	Balochi	Balochi in Pakistan	CSA	Central and South Asian Ancestry	30.5	66.5
hgdp	HGDP00066	male	BLC	Balochi	Balochi in Pakistan	CSA	Central and South Asian Ancestry	30.5	66.5
hgdp	HGDP00068	male	BLC	Balochi	Balochi in Pakistan	CSA	Central and South Asian Ancestry	30.5	66.5
