sample	file
HGDP00001	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Brahui/HGDP00001/alignment/HGDP00001.alt_bwamem_GRCh38DH.20181023.Brahui.cram
HGDP00003	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Brahui/HGDP00003/alignment/HGDP00003.alt_bwamem_GRCh38DH.20181023.Brahui.cram
HGDP00005	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Brahui/HGDP00005/alignment/HGDP00005.alt_bwamem_GRCh38DH.20181023.Brahui.cram
HGDP00007	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Brahui/HGDP00007/alignment/HGDP00007.alt_bwamem_GRCh38DH.20181023.Brahui.cram
HGDP00009	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Brahui/HGDP00009/alignment/HGDP00009.alt_bwamem_GRCh38DH.20181023.Brahui.cram
HGDP00011	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Brahui/HGDP00011/alignment/HGDP00011.alt_bwamem_GRCh38DH.20181023.Brahui.cram
HGDP00013	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Brahui/HGDP00013/alignment/HGDP00013.alt_bwamem_GRCh38DH.20181023.Brahui.cram
HGDP00015	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Brahui/HGDP00015/alignment/HGDP00015.alt_bwamem_GRCh38DH.20181023.Brahui.cram
HGDP00017	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Brahui/HGDP00017/alignment/HGDP00017.alt_bwamem_GRCh38DH.20181023.Brahui.cram
HGDP00021	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Brahui/HGDP00021/alignment/HGDP00021.alt_bwamem_GRCh38DH.20181023.Brahui.cram
HGDP00023	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Brahui/HGDP00023/alignment/HGDP00023.alt_bwamem_GRCh38DH.20181023.Brahui.cram
HGDP00025	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Brahui/HGDP00025/alignment/HGDP00025.alt_bwamem_GRCh38DH.20181023.Brahui.cram
HGDP00029	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Brahui/HGDP00029/alignment/HGDP00029.alt_bwamem_GRCh38DH.20181023.Brahui.cram
HGDP00031	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Brahui/HGDP00031/alignment/HGDP00031.alt_bwamem_GRCh38DH.20181023.Brahui.cram
HGDP00033	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Brahui/HGDP00033/alignment/HGDP00033.alt_bwamem_GRCh38DH.20181023.Brahui.cram
HGDP00035	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Brahui/HGDP00035/alignment/HGDP00035.alt_bwamem_GRCh38DH.20181023.Brahui.cram
HGDP00037	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Brahui/HGDP00037/alignment/HGDP00037.alt_bwamem_GRCh38DH.20181023.Brahui.cram
HGDP00039	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Brahui/HGDP00039/alignment/HGDP00039.alt_bwamem_GRCh38DH.20181023.Brahui.cram
HGDP00041	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGDP/data/Brahui/HGDP00041/alignment/HGDP00041.alt_bwamem_GRCh38DH.20181023.Brahui.cram
