source	sample	population	population_name	superpopulation	superpopulation_name
sgdp	abh100	ABK	Abkhasian	WEA	West Eurasian Ancestry
sgdp	abh107	ABK	Abkhasian	WEA	West Eurasian Ancestry
sgdp	ALB212	ALB	Albanian	WEA	West Eurasian Ancestry
sgdp	Ale14	TLN	Tlingit	CAS	Central Asian and Siberian Ancestry
sgdp	Ale20	ALE	Aleut	CAS	Central Asian and Siberian Ancestry
sgdp	Ale22	ALE	Aleut	CAS	Central Asian and Siberian Ancestry
sgdp	Ale32	TLN	Tlingit	CAS	Central Asian and Siberian Ancestry
sgdp	altai363p	ALT	Altaian	CAS	Central Asian and Siberian Ancestry
sgdp	armenia293	ARM	Armenian	WEA	West Eurasian Ancestry
sgdp	Armenian222	ARM	Armenian	WEA	West Eurasian Ancestry
sgdp	AV-21	CRT	Crete	WEA	West Eurasian Ancestry
sgdp	Ayodo_430C	LUO	Luo	AFR	African Ancestry
sgdp	Ayodo_502C	LUO	Luo	AFR	African Ancestry
sgdp	Ayodo_81S	SML	Somali	AFR	African Ancestry
sgdp	B11	BRH	Brahmin	SAS	South Asian Ancestry
sgdp	B17	BRH	Brahmin	SAS	South Asian Ancestry
sgdp	Bishkek28439	KYR	Kyrgyz	CAS	Central Asian and Siberian Ancestry
sgdp	Bishkek28440	KYR	Kyrgyz	CAS	Central Asian and Siberian Ancestry
sgdp	Bu16	BRM	Burmese	EAS	East Asian Ancestry
sgdp	Bu5	BRM	Burmese	EAS	East Asian Ancestry
sgdp	BulgarianB4	BLG	Bulgarian	WEA	West Eurasian Ancestry
sgdp	BulgarianC1	BLG	Bulgarian	WEA	West Eurasian Ancestry
sgdp	ch113	CHC	Chechen	WEA	West Eurasian Ancestry
sgdp	CHI-007	THA	Thai	EAS	East Asian Ancestry
sgdp	CHI-034	THA	Thai	EAS	East Asian Ancestry
sgdp	DNK05	DNK	Dinka	AFR	African Ancestry
sgdp	DNK07	DNK	Dinka	AFR	African Ancestry
sgdp	DNK11	DNK	Dinka	AFR	African Ancestry
sgdp	Dus16	DSN	Dusun	OCE	Oceanian Ancestry
sgdp	Dus22	DSN	Dusun	OCE	Oceanian Ancestry
sgdp	Esk29	ESC	Eskimo Chaplin	CAS	Central Asian and Siberian Ancestry
sgdp	Est375	EST	Estonian	WEA	West Eurasian Ancestry
sgdp	Est400	EST	Estonian	WEA	West Eurasian Ancestry
sgdp	HGDP00019	BRA	Brahui	CSA	Central and South Asian Ancestry
