source	sample	sex	population	population_name	population_desc	superpopulation	superpopulation_name	latitude	longitude
sgdp	abh100	male	ABK	Abkhasian	Abkhasian in Abkhazia or Russia	WEA	West Eurasian Ancestry	43	41
sgdp	abh107	male	ABK	Abkhasian	Abkhasian in Abkhazia or Russia	WEA	West Eurasian Ancestry	43	41
sgdp	ALB212	female	ALB	Albanian	Albanian in Albania	WEA	West Eurasian Ancestry	41.3	19.8
sgdp	Ale14	female	TLN	Tlingit	Tlingit in Russia	CAS	Central Asian and Siberian Ancestry	54.09	162.325
sgdp	Ale20	female	ALE	Aleut	Aleut in Russia	CAS	Central Asian and Siberian Ancestry	55.18	166
sgdp	Ale22	male	ALE	Aleut	Aleut in Russia	CAS	Central Asian and Siberian Ancestry	55.18	166
sgdp	Ale32	male	TLN	Tlingit	Tlingit in Russia	CAS	Central Asian and Siberian Ancestry	54.09	162.325
sgdp	altai363p	male	ALT	Altaian	Altaian in Russia	CAS	Central Asian and Siberian Ancestry	51.9	86
sgdp	armenia293	male	ARM	Armenian	Armenian in Armenia	WEA	West Eurasian Ancestry	40.2	44.5
sgdp	Armenian222	male	ARM	Armenian	Armenian in Armenia	WEA	West Eurasian Ancestry	40.2	44.5
sgdp	AV-21	female	CRT	Crete	Crete in Greece	WEA	West Eurasian Ancestry	35.341846	25.148254
sgdp	Ayodo_430C	male	LUO	Luo	Luo in Kenya	AFR	African Ancestry	-0.1	34.3
sgdp	Ayodo_502C	female	LUO	Luo	Luo in Kenya	AFR	African Ancestry	-0.1	34.3
sgdp	Ayodo_81S	female	SML	Somali	Somali in Kenya	AFR	African Ancestry	5.6	48.3
sgdp	B11	male	BRH	Brahmin	Brahmin in India	SAS	South Asian Ancestry	17.7	83.3
sgdp	B17	male	BRH	Brahmin	Brahmin in India	SAS	South Asian Ancestry	17.7	83.3
sgdp	Bishkek28439	female	KYR	Kyrgyz	Kyrgyz in Kyrgyzystan	CAS	Central Asian and Siberian Ancestry	42.9	74.6
sgdp	Bishkek28440	male	KYR	Kyrgyz	Kyrgyz in Kyrgyzystan	CAS	Central Asian and Siberian Ancestry	42.9	74.6
sgdp	Bu16	male	BRM	Burmese	Burmese in Myanmar	EAS	East Asian Ancestry	17	96.7
sgdp	Bu5	male	BRM	Burmese	Burmese in Myanmar	EAS	East Asian Ancestry	17	96.7
sgdp	BulgarianB4	male	BLG	Bulgarian	Bulgarian in Bulgaria	WEA	West Eurasian Ancestry	42.2	24.7
sgdp	BulgarianC1	male	BLG	Bulgarian	Bulgarian in Bulgaria	WEA	West Eurasian Ancestry	42.2	24.7
sgdp	ch113	male	CHC	Chechen	Chechen in Russia	WEA	West Eurasian Ancestry	43.3	45.7
sgdp	CHI-007	male	THA	Thai	Thai in Thailand	EAS	East Asian Ancestry	13.8	100.5
sgdp	CHI-034	female	THA	Thai	Thai in Thailand	EAS	East Asian Ancestry	13.8	100.5
sgdp	DNK05	male	DNK	Dinka	Dinka in Sudan	AFR	African Ancestry	8.794444	27.4
sgdp	DNK07	male	DNK	Dinka	Dinka in Sudan	AFR	African Ancestry	8.794444	27.4
sgdp	DNK11	male	DNK	Dinka	Dinka in Sudan	AFR	African Ancestry	8.794444	27.4
sgdp	Dus16	female	DSN	Dusun	Dusun in Brunei	OCE	Oceanian Ancestry	4.7	114.7
sgdp	Dus22	female	DSN	Dusun	Dusun in Brunei	OCE	Oceanian Ancestry	4.7	114.7
sgdp	Esk29	male	ESC	Eskimo Chaplin	Eskimo Chaplin in Russia	CAS	Central Asian and Siberian Ancestry	64.48	172.86
sgdp	Est375	male	EST	Estonian	Estonian in Estonia	WEA	West Eurasian Ancestry	58.5	24.9
sgdp	Est400	male	EST	Estonian	Estonian in Estonia	WEA	West Eurasian Ancestry	58.5	24.9
sgdp	HGDP00019	male	BRA	Brahui	Brahui in Pakistan	CSA	Central and South Asian Ancestry	30.5	66.5
sgdp	HGDP00027	male	BRA	Brahui	Brahui in Pakistan	CSA	Central and South Asian Ancestry	30.5	66.5
sgdp	HGDP00058	male	BLC	Balochi	Balochi in Pakistan	CSA	Central and South Asian Ancestry	30.5	66.5
sgdp	HGDP00090	male	BLC	Balochi	Balochi in Pakistan	CSA	Central and South Asian Ancestry	30.5	66.5
sgdp	HGDP00124	male	HZR	Hazara	Hazara in Pakistan	CSA	Central and South Asian Ancestry	33.5	70
sgdp	HGDP00125	male	HZR	Hazara	Hazara in Pakistan	CSA	Central and South Asian Ancestry	33.5	70
sgdp	HGDP00157	female	MKR	Makrani	Makrani in Pakistan	CSA	Central and South Asian Ancestry	26	64
sgdp	HGDP00160	male	MKR	Makrani	Makrani in Pakistan	CSA	Central and South Asian Ancestry	26	64
sgdp	HGDP00195	female	SND	Sindhi	Sindhi in Pakistan	CSA	Central and South Asian Ancestry	25.5	69
sgdp	HGDP00208	male	SND	Sindhi	Sindhi in Pakistan	CSA	Central and South Asian Ancestry	25.5	69
sgdp	HGDP00216	male	PTH	Pathan	Pathan in Pakistan	CSA	Central and South Asian Ancestry	33.5	70.5
sgdp	HGDP00232	female	PTH	Pathan	Pathan in Pakistan	CSA	Central and South Asian Ancestry	33.5	70.5
sgdp	HGDP00286	female	KLS	Kalash	Kalash in Pakistan	CSA	Central and South Asian Ancestry	36	71.5
sgdp	HGDP00328	male	KLS	Kalash	Kalash in Pakistan	CSA	Central and South Asian Ancestry	36	71.5
sgdp	HGDP00338	female	BRS	Burusho	Burusho in Pakistan	CSA	Central and South Asian Ancestry	36.5	74
sgdp	HGDP00428	male	BRS	Burusho	Burusho in Pakistan	CSA	Central and South Asian Ancestry	36.5	74
sgdp	HGDP00449	male	MBT	Mbuti	Mbuti in Democratic Republic of Congo	AFR	African Ancestry	1	29
sgdp	HGDP00457	male	BIK	Biaka	Biaka in Central African Republic	AFR	African Ancestry	4	17
sgdp	HGDP00461	male	BIK	Biaka	Biaka in Central African Republic	AFR	African Ancestry	4	17
sgdp	HGDP00474	male	MBT	Mbuti	Mbuti in Democratic Republic of Congo	AFR	African Ancestry	1	29
sgdp	HGDP00476	female	MBT	Mbuti	Mbuti in Democratic Republic of Congo	AFR	African Ancestry	1	29
sgdp	HGDP00526	female	FRN	French	French in France	EUR	European Ancestry	46	2
sgdp	HGDP00530	male	FRN	French	French in France	EUR	European Ancestry	46	2
sgdp	HGDP00533	male	FRN	French	French in France	EUR	European Ancestry	46	2
sgdp	HGDP00540	male	PPN	Papuan	Papuan in Papua New Guinea	OCE	Oceanian Ancestry	-4	143
sgdp	HGDP00541	male	PPN	Papuan	Papuan in Papua New Guinea	OCE	Oceanian Ancestry	-4	143
sgdp	HGDP00543	male	PPN	Papuan	Papuan in Papua New Guinea	OCE	Oceanian Ancestry	-4	143
sgdp	HGDP00545	male	PPN	Papuan	Papuan in Papua New Guinea	OCE	Oceanian Ancestry	-4	143
sgdp	HGDP00546	male	PPN	Papuan	Papuan in Papua New Guinea	OCE	Oceanian Ancestry	-4	143
sgdp	HGDP00547	male	PPN	Papuan	Papuan in Papua New Guinea	OCE	Oceanian Ancestry	-4	143
sgdp	HGDP00548	male	PPN	Papuan	Papuan in Papua New Guinea	OCE	Oceanian Ancestry	-4	143
sgdp	HGDP00549	male	PPN	Papuan	Papuan in Papua New Guinea	OCE	Oceanian Ancestry	-4	143
sgdp	HGDP00550	female	PPN	Papuan	Papuan in Papua New Guinea	OCE	Oceanian Ancestry	-4	143
sgdp	HGDP00551	male	PPN	Papuan	Papuan in Papua New Guinea	OCE	Oceanian Ancestry	-4	143
sgdp	HGDP00552	female	PPN	Papuan	Papuan in Papua New Guinea	OCE	Oceanian Ancestry	-4	143
sgdp	HGDP00553	male	PPN	Papuan	Papuan in Papua New Guinea	OCE	Oceanian Ancestry	-4	143
sgdp	HGDP00554	female	PPN	Papuan	Papuan in Papua New Guinea	OCE	Oceanian Ancestry	-4	143
sgdp	HGDP00555	male	PPN	Papuan	Papuan in Papua New Guinea	OCE	Oceanian Ancestry	-4	143
sgdp	HGDP00556	male	PPN	Papuan	Papuan in Papua New Guinea	OCE	Oceanian Ancestry	-4	143
sgdp	HGDP00569	female	DRZ	Druze	Druze in Carmel, Israel	MEA	Middle Eastern Ancestry	32	35
sgdp	HGDP00597	male	DRZ	Druze	Druze in Carmel, Israel	MEA	Middle Eastern Ancestry	32	35
sgdp	HGDP00616	male	BDB	Bedouin B	Bedouin B in Israel(Negev)	WEA	West Eurasian Ancestry	31	35
sgdp	HGDP00650	female	BDB	Bedouin B	Bedouin B in Israel(Negev)	WEA	West Eurasian Ancestry	31	35
sgdp	HGDP00656	female	BGN	Bougainville	Bougainville in Bougainville	OCE	Oceanian Ancestry	-6	155
sgdp	HGDP00660	female	BGN	Bougainville	Bougainville in Bougainville	OCE	Oceanian Ancestry	-6	155
sgdp	HGDP00702	female	PPC	Piapoco	Piapoco in Colombia	AMR	American Ancestry	3	-68
sgdp	HGDP00706	female	PPC	Piapoco	Piapoco in Colombia	AMR	American Ancestry	3	-68
sgdp	HGDP00713	female	CMB	Cambodian	Cambodian in Cambodia	EAS	East Asian Ancestry	12	105
sgdp	HGDP00717	male	CMB	Cambodian	Cambodian in Cambodia	EAS	East Asian Ancestry	12	105
sgdp	HGDP00722	male	PAL	Palestinian	Palestinian in Central, Israel	MEA	Middle Eastern Ancestry	32	35
sgdp	HGDP00725	female	PAL	Palestinian	Palestinian in Central, Israel	MEA	Middle Eastern Ancestry	32	35
sgdp	HGDP00737	female	PAL	Palestinian	Palestinian in Central, Israel	MEA	Middle Eastern Ancestry	32	35
sgdp	HGDP00749	male	JPT	Japanese	Japanese in Tokyo, Japan	EAS	East Asian Ancestry	35.68	139.68
sgdp	HGDP00773	female	JPT	Japanese	Japanese in Tokyo, Japan	EAS	East Asian Ancestry	35.68	139.68
sgdp	HGDP00775	male	HAN	Han	Han in China	EAS	East Asian Ancestry	32.3	114
sgdp	HGDP00783	female	HAN	Han	Han in China	EAS	East Asian Ancestry	32.3	114
sgdp	HGDP00785	male	HAN	Han	Han in China	EAS	East Asian Ancestry	32.3	114
sgdp	HGDP00796	female	ORC	Orcadian	Orcadian in Orkney	EUR	European Ancestry	59	-3
sgdp	HGDP00798	male	ORC	Orcadian	Orcadian in Orkney	EUR	European Ancestry	59	-3
sgdp	HGDP00846	female	SUR	Surui	Surui in Brazil	AMR	American Ancestry	-11	-62
sgdp	HGDP00852	female	SUR	Surui	Surui in Brazil	AMR	American Ancestry	-11	-62
sgdp	HGDP00855	female	MYN	Mayan	Mayan in Mexico	AMR	American Ancestry	19	-91
sgdp	HGDP00857	female	MYN	Mayan	Mayan in Mexico	AMR	American Ancestry	19	-91
sgdp	HGDP00887	male	RSS	Russian	Russian in Russia	EUR	European Ancestry	61	40
sgdp	HGDP00903	female	RSS	Russian	Russian in Russia	EUR	European Ancestry	61	40
sgdp	HGDP00915	female	MND	Mandenka	Mandenka in Senegal	AFR	African Ancestry	12	-12
sgdp	HGDP00928	female	YRI	Yoruba	Yoruba in Ibadan, Nigeria	AFR	African Ancestry	7.4	3.92
sgdp	HGDP00932	male	YRI	Yoruba	Yoruba in Ibadan, Nigeria	AFR	African Ancestry	7.4	3.92
sgdp	HGDP00936	male	YRI	Yoruba	Yoruba in Ibadan, Nigeria	AFR	African Ancestry	7.4	3.92
sgdp	HGDP00951	male	YKT	Yakut	Yakut in Siberia	EAS	East Asian Ancestry	63	129.5
sgdp	HGDP00956	female	YKT	Yakut	Yakut in Siberia	EAS	East Asian Ancestry	63	129.5
sgdp	HGDP00982	male	MBT	Mbuti	Mbuti in Democratic Republic of Congo	AFR	African Ancestry	1	29
sgdp	HGDP00987	male	J|N	Ju|'hoan North	Ju|'hoan North in Namibia	AFR	African Ancestry	-18.909314	21.488112
sgdp	HGDP00991	male	J|N	Ju|'hoan North	Ju|'hoan North in Namibia	AFR	African Ancestry	-18.909314	21.488112
sgdp	HGDP01012	male	KRT	Karitiana	Karitiana in Brazil	AMR	American Ancestry	-10	-63
sgdp	HGDP01015	male	KRT	Karitiana	Karitiana in Brazil	AMR	American Ancestry	-10	-63
sgdp	HGDP01018	female	KRT	Karitiana	Karitiana in Brazil	AMR	American Ancestry	-10	-63
sgdp	HGDP01028	male	BNH	Bantu Herero	Bantu Herero in Botswana Or Namibia	AFR	African Ancestry	-22	19
sgdp	HGDP01030	male	BNT	Bantu Tswana	Bantu Tswana in Botswana Or Namibia	AFR	African Ancestry	-28	24
sgdp	HGDP01032	male	J|N	Ju|'hoan North	Ju|'hoan North in Namibia	AFR	African Ancestry	-18.909314	21.488112
sgdp	HGDP01034	male	BNT	Bantu Tswana	Bantu Tswana in Botswana Or Namibia	AFR	African Ancestry	-28	24
sgdp	HGDP01035	male	BNH	Bantu Herero	Bantu Herero in Botswana Or Namibia	AFR	African Ancestry	-22	19
sgdp	HGDP01036	male	J|N	Ju|'hoan North	Ju|'hoan North in Namibia	AFR	African Ancestry	-18.909314	21.488112
sgdp	HGDP01044	female	PIM	Pima	Pima in Mexico	AMR	American Ancestry	29	-108
sgdp	HGDP01047	male	PIM	Pima	Pima in Mexico	AMR	American Ancestry	29	-108
