#CRAM	CRAM_MD5	CRAI	CRAI_MD5	BAS	BAS_MD5	Sample	Population
ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/simons_diversity_data/data/Burusho/SAMEA3302798/alignment/SAMEA3302798.alt_bwamem_GRCh38DH.20200922.Burusho.simons.cram	ebee8e79a36e1349c9ae5977ae5ef2ab	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/simons_diversity_data/data/Burusho/SAMEA3302798/alignment/SAMEA3302798.alt_bwamem_GRCh38DH.20200922.Burusho.simons.cram.crai	9e39ddfe160eb938080d5b409f1c3c93	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/simons_diversity_data/data/Burusho/SAMEA3302798/alignment/SAMEA3302798.alt_bwamem_GRCh38DH.20200922.Burusho.simons.bam.bas	eb612e26884235b74c8307ec29a8d1f6	HGDP00428	Burusho in Pakistan (SGDP)
ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/simons_diversity_data/data/Burusho/SAMEA3302795/alignment/SAMEA3302795.alt_bwamem_GRCh38DH.20200922.Burusho.simons.cram	de3ab27a0784cd87042ab3e6f55b5d7a	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/simons_diversity_data/data/Burusho/SAMEA3302795/alignment/SAMEA3302795.alt_bwamem_GRCh38DH.20200922.Burusho.simons.cram.crai	5a916b07b29abf51aa3fd096139499ce	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/simons_diversity_data/data/Burusho/SAMEA3302795/alignment/SAMEA3302795.alt_bwamem_GRCh38DH.20200922.Burusho.simons.bam.bas	03c2923e73ba4d78603a0d9556f4f72f	HGDP00338	Burusho in Pakistan (SGDP)
ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/simons_diversity_data/data/Hungarian/SAMEA3302678/alignment/SAMEA3302678.alt_bwamem_GRCh38DH.20200922.Hungarian.simons.cram	950b886880f97cca229b2bde1a0c70c5	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/simons_diversity_data/data/Hungarian/SAMEA3302678/alignment/SAMEA3302678.alt_bwamem_GRCh38DH.20200922.Hungarian.simons.cram.crai	6ef7372888c5d8632917278d127873ce	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/simons_diversity_data/data/Hungarian/SAMEA3302678/alignment/SAMEA3302678.alt_bwamem_GRCh38DH.20200922.Hungarian.simons.bam.bas	3d13bdc2b8b7a07bfea5e3333377f37d	NA15203	Hungarian in Hungary (SGDP)
ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/simons_diversity_data/data/Hungarian/SAMEA3302649/alignment/SAMEA3302649.alt_bwamem_GRCh38DH.20200922.Hungarian.simons.cram	fcb88246debcee20f0679e21dc658245	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/simons_diversity_data/data/Hungarian/SAMEA3302649/alignment/SAMEA3302649.alt_bwamem_GRCh38DH.20200922.Hungarian.simons.cram.crai	2058cb59294b77a0fdba7d3571d7ea45	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/simons_diversity_data/data/Hungarian/SAMEA3302649/alignment/SAMEA3302649.alt_bwamem_GRCh38DH.20200922.Hungarian.simons.bam.bas	fce4b4f4dfa990dd823f50a7c4d9a920	NA15202	Hungarian in Hungary (SGDP)
ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/simons_diversity_data/data/Tlingit/SAMEA3302853/alignment/SAMEA3302853.alt_bwamem_GRCh38DH.20200922.Tlingit.simons.cram	ea6f49e079bb152406bd4a20eeea8659	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/simons_diversity_data/data/Tlingit/SAMEA3302853/alignment/SAMEA3302853.alt_bwamem_GRCh38DH.20200922.Tlingit.simons.cram.crai	9da15014d81790affc97b795d63ee317	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/simons_diversity_data/data/Tlingit/SAMEA3302853/alignment/SAMEA3302853.alt_bwamem_GRCh38DH.20200922.Tlingit.simons.bam.bas	39d51bbd12acdd93de6db6958a4e376b	Ale32	Tlingit in Russia (SGDP)
ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/simons_diversity_data/data/Tlingit/SAMEA3302889/alignment/SAMEA3302889.alt_bwamem_GRCh38DH.20200922.Tlingit.simons.cram	2cf8d0f514311905abbf85731b1cad98	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/simons_diversity_data/data/Tlingit/SAMEA3302889/alignment/SAMEA3302889.alt_bwamem_GRCh38DH.20200922.Tlingit.simons.cram.crai	f1537b4093c0da508448a01b10292883	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/simons_diversity_data/data/Tlingit/SAMEA3302889/alignment/SAMEA3302889.alt_bwamem_GRCh38DH.20200922.Tlingit.simons.bam.bas	9bc0a22cde683a1027df85a9330689ec	Ale14	Tlingit in Russia (SGDP)
ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/simons_diversity_data/data/Khonda_Dora/SAMEA3302861/alignment/SAMEA3302861.alt_bwamem_GRCh38DH.20200922.Khonda_Dora.simons.cram	d88db85b3026105f5caa6e29f63db093	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/simons_diversity_data/data/Khonda_Dora/SAMEA3302861/alignment/SAMEA3302861.alt_bwamem_GRCh38DH.20200922.Khonda_Dora.simons.cram.crai	b956a8c8544ea90e07cc1077d747a82c	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/simons_diversity_data/data/Khonda_Dora/SAMEA3302861/alignment/SAMEA3302861.alt_bwamem_GRCh38DH.20200922.Khonda_Dora.simons.bam.bas	ad8141de3a693df2deaa199cfec6ca7d	KD4	Khonda Dora in India (SGDP)
ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/simons_diversity_data/data/Japanese/SAMEA3302906/alignment/SAMEA3302906.alt_bwamem_GRCh38DH.20200922.Japanese.simons.cram	ac45819369ebff3e2f905769f4ff355b	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/simons_diversity_data/data/Japanese/SAMEA3302906/alignment/SAMEA3302906.alt_bwamem_GRCh38DH.20200922.Japanese.simons.cram.crai	8cf7f0536c95bbfda9b08b400abf2bae	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/simons_diversity_data/data/Japanese/SAMEA3302906/alignment/SAMEA3302906.alt_bwamem_GRCh38DH.20200922.Japanese.simons.bam.bas	cf500fa4dc9c159c3a0c32849d380da3	HGDP00773	Japanese in Japan (SGDP)
ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/simons_diversity_data/data/Japanese/SAMEA3302852/alignment/SAMEA3302852.alt_bwamem_GRCh38DH.20200922.Japanese.simons.cram	4503fedfd6706c601f8ad831eba553f4	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/simons_diversity_data/data/Japanese/SAMEA3302852/alignment/SAMEA3302852.alt_bwamem_GRCh38DH.20200922.Japanese.simons.cram.crai	79bb8526aabc5e5b6320932d5f0416d6	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/simons_diversity_data/data/Japanese/SAMEA3302852/alignment/SAMEA3302852.alt_bwamem_GRCh38DH.20200922.Japanese.simons.bam.bas	667c485904888243c17d62b3d6b1966b	NA18940	Japanese in Japan (SGDP)
ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/simons_diversity_data/data/Japanese/SAMEA3302867/alignment/SAMEA3302867.alt_bwamem_GRCh38DH.20200922.Japanese.simons.cram	60ee60dd9c49144485eab2551131e787	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/simons_diversity_data/data/Japanese/SAMEA3302867/alignment/SAMEA3302867.alt_bwamem_GRCh38DH.20200922.Japanese.simons.cram.crai	9401c067c6f451cc4f8eef0acbbd2714	ftp://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/simons_diversity_data/data/Japanese/SAMEA3302867/alignment/SAMEA3302867.alt_bwamem_GRCh38DH.20200922.Japanese.simons.bam.bas	84e143a0e0d1bb738927557ca8f6b65a	HGDP00749	Japanese in Japan (SGDP)
